number,vs,lang,sentence,modif-sentence,Relevance,Quality
11,ноутбук VS стационарный компьютер_objB,en,"Ваш рабочий стол, вероятно, имеет лучшее видео и более быстрый жёсткий диск, чем ваш ноутбук.","Ваш рабочий стол, вероятно, имеет лучшее видео и более быстрый жёсткий диск, чем ваш ноутбук.",2,1
12,ноутбук VS стационарный компьютер_objB,en,"Должен сказать, это было быстрее и лучше, чем мой ноутбук эмахин, который был атлон 2400 ггц.","Должен сказать, это было быстрее и лучше, чем мой ноутбук эмахин, который был атлон 2400 ггц.",1,1
13,ноутбук VS стационарный компьютер_objB,en,"Ему нужен только интернет, и я подумала, что ему будет легче, чем компьютер, потому что он мобильный и даже легче ноутбука.","Ему нужен только интернет, и я подумала, что ему будет легче, чем компьютер, потому что он мобильный и даже легче ноутбука.",0,1
14,ноутбук VS стационарный компьютер_objB,en,"Но редактирование на рабочем столе, оборудованном самым быстрым процессором и правильной графической картой и по меньшей мере 8 г барана, будет более плавным и быстрым, чем ноутбук.","Но редактирование на рабочем столе, оборудованном самым быстрым процессором и правильной графической картой и по меньшей мере 8 г барана, будет более плавным и быстрым, чем ноутбук.",2,1
15,ноутбук VS стационарный компьютер_objB,en,"Я могу печатать на клавиатуре ноутбука быстрее, чем на полной клавиатуре в любой день.","Я могу печатать на клавиатуре ноутбука быстрее, чем на полной клавиатуре в любой день.",1,1
16,ноутбук VS стационарный компьютер_objB,en,iMac не модернизируемое ноутбуковое оборудование... намного ниже даже среднего рабочего стола.,iMac не модернизируемое ноутбуковое оборудование... намного ниже даже среднего рабочего стола.,2,1
17,ноутбук VS стационарный компьютер_objB,en,"Это быстрее, чем мой ноутбук Тосибы.","Это быстрее, чем мой ноутбук Тосибы.",0,0
18,ноутбук VS стационарный компьютер_objB,en,"« Это особенно относится к ноутбукам, так как модернизация ноутбука труднее и дороже, чем модернизация рабочего стола.","« Это особенно относится к ноутбукам, так как модернизация ноутбука труднее и дороже, чем модернизация рабочего стола.",2,2
19,ноутбук VS стационарный компьютер_objB,en,"Настоль намного выше любого ноутбука, который вы можете приобрести.","Настоль намного выше любого ноутбука, который вы можете приобрести.",1,1
20,ноутбук VS стационарный компьютер_objB,en,"Ноутбук работает гораздо медленнее, чем рабочий стол.","Ноутбук работает гораздо медленнее, чем рабочий стол.",2,2
21,ноутбук VS стационарный компьютер_objA,ru,"Лучше всего использовать на таком столе ноутбук, а не стационарный компьютер.","Лучше всего использовать на таком столе ноутбук, а не стационарный компьютер.",2,1
22,ноутбук VS стационарный компьютер_objA,ru,При таком раскладе ноутбук всегда будет на шаг впереди стационарного компьютера.,При таком раскладе ноутбук всегда будет на шаг впереди стационарного компьютера.,2,1
23,ноутбук VS стационарный компьютер_objA,ru,"Можно обойтись и стационарным компьютером, но куда как лучше будет иметь ноутбук и Wi-Fi.","Можно обойтись и стационарным компьютером, но куда как лучше будет иметь ноутбук и Wi-Fi.",1,2
24,ноутбук VS стационарный компьютер_objA,ru,"Хороший ноутбук будет стоить дороже, чем стационарный компьютер с теми же характеристиками.","Хороший ноутбук будет стоить дороже, чем стационарный компьютер с теми же характеристиками.",2,2
25,ноутбук VS стационарный компьютер_objA,ru,"Но это значит, что вам понадобится ноутбук или что-то более мобильное, чем ваш стационарный компьютер.","Но это значит, что вам понадобится ноутбук или что-то более мобильное, чем ваш стационарный компьютер.",1,1
26,ноутбук VS стационарный компьютер_objA,ru,"Часто говорят, что работать за ноутбуком не так удобно, как за стационарным компьютером.","Часто говорят, что работать за ноутбуком не так удобно, как за стационарным компьютером.",2,2
27,ноутбук VS стационарный компьютер_objA,ru,"Ноутбук, во-первых, компактен, а по функциональности может заменить стационарный компьютер.","Ноутбук, во-первых, компактен, а по функциональности может заменить стационарный компьютер.",2,2
28,ноутбук VS стационарный компьютер_objA,ru,"Все больше и больше пользователей компьютерной техники предпочитают не стационарные компьютеры, а ноутбуки.","Все больше и больше пользователей компьютерной техники предпочитают не стационарные компьютеры, а ноутбуки.",1,2
29,ноутбук VS стационарный компьютер_objA,ru,Ноутбуки в сравнении со стационарными компьютерами показывают графику на порядок ниже.,Ноутбуки в сравнении со стационарными компьютерами показывают графику на порядок ниже.,2,2
30,ноутбук VS стационарный компьютер_objA,ru,"Несмотря на большую популярность ноутбуков, стационарные компьютеры все еще пользуются спросом.","Несмотря на большую популярность ноутбуков, стационарные компьютеры все еще пользуются спросом.",1,2
31,ноутбук VS стационарный компьютер_objB,ru,Главное преимущество ноутбука перед классическим стационарным компьютером заключается в его портативности.,Главное преимущество ноутбука перед классическим стационарным компьютером заключается в его портативности.,2,2
32,ноутбук VS стационарный компьютер_objB,ru,"Ноутбук действительно поддается ремонту на порядок сложнее, чем стационарный компьютер.","Ноутбук действительно поддается ремонту на порядок сложнее, чем стационарный компьютер.",2,2
33,ноутбук VS стационарный компьютер_objB,ru,"Пользоваться смартфоном или планшетом намного удобнее, чем стационарным компьютером или ноутбуком.","Пользоваться смартфоном или планшетом намного удобнее, чем стационарным компьютером или ноутбуком.",0,2
34,ноутбук VS стационарный компьютер_objB,ru,"Несколько лет назад сменила ноутбук на стационарный компьютер, поэтому и","Несколько лет назад сменила ноутбук на стационарный компьютер, поэтому и",0,0
35,ноутбук VS стационарный компьютер_objB,ru,"Играть на планшетах и смартфонах на порядок удобней, чем на стационарных компьютерах и ноутбуках.","Играть на планшетах и смартфонах на порядок удобней, чем на стационарных компьютерах и ноутбуках.",0,2
36,ноутбук VS стационарный компьютер_objB,ru,"Тем более, что в компаниях все же более распространены стационарные компьютеры, нежели ноутбуки.","Тем более, что в компаниях все же более распространены стационарные компьютеры, нежели ноутбуки.",1,1
37,ноутбук VS стационарный компьютер_objB,ru,"Ноутбуки во многом опережают стационарные компьютеры, но только не в надежности.","Ноутбуки во многом опережают стационарные компьютеры, но только не в надежности.",2,2
38,ноутбук VS стационарный компьютер_objB,ru,"Если для обычного стационарного компьютера это еще нормально, то для ноутбука это уже не то.","Если для обычного стационарного компьютера это еще нормально, то для ноутбука это уже не то.",0,0
39,ноутбук VS стационарный компьютер_objB,ru,"Ноутбуки – это удобнее и практичнее, чем традиционные стационарные компьютеры.","Ноутбуки – это удобнее и практичнее, чем традиционные стационарные компьютеры.",2,2
40,ноутбук VS стационарный компьютер_objB,ru,В сумме все преимущества ноутбуков перед стационарными компьютерами составляют основную качество ноутбуков: Мобильность.,В сумме все преимущества ноутбуков перед стационарными компьютерами составляют основную качество ноутбуков: Мобильность.,0,1
41,Canon VS Nikon_objA,en,"Обслуживание канона значительно лучше и быстрее, чем обслуживание Никона.","Обслуживание канона значительно лучше и быстрее, чем обслуживание Никона.",2,2
42,Canon VS Nikon_objA,en,"Включать настройки на каноне легче и быстрее, чем на Никоне.","Включать настройки на каноне легче и быстрее, чем на Никоне.",2,2
43,Canon VS Nikon_objA,en,"Профессиональный Canon 1D X быстрее и лучше, чем любое тело Никона, так что вы, вероятно, усовершенствуете все до Canon после использования 1D X в любом случае, так что посмотрите на все деньги, которые я только что сэкономил вам.","Профессиональный Canon 1D X быстрее и лучше, чем любое тело Никона, так что вы, вероятно, усовершенствуете все до Canon после использования 1D X в любом случае, так что посмотрите на все деньги, которые я только что сэкономил вам.",1,1
44,Canon VS Nikon_objA,en,"Canon 24-70 мм 2.8 II на 2,8 лучше и 135 мм 2L немного острее и имеет гораздо более быструю автоконцентрацию, чем Nikon 135 мм 2.0DC.","Canon 24-70 мм 2.8 II на 2,8 лучше и 135 мм 2L немного острее и имеет гораздо более быструю автоконцентрацию, чем Nikon 135 мм 2.0DC.",2,1
45,Canon VS Nikon_objA,en,"Я подозреваю, что Кэнон будет мудрым и будет держаться на ЭФ-машине, так как ее больше размера позволяет им экспериментировать и проектировать новые технологии немного легче, чем для Никона с меньшей F-машиной.","Я подозреваю, что Кэнон будет мудрым и будет держаться на ЭФ-машине, так как ее больше размера позволяет им экспериментировать и проектировать новые технологии немного легче, чем для Никона с меньшей F-машиной.",1,1
46,Canon VS Nikon_objA,en,"В целом, у Канона есть спортивные линзы получше, и, конечно же, есть 1DX, который выше любой никонской камеры в действительности.","В целом, у Канона есть спортивные линзы получше, и, конечно же, есть 1DX, который выше любой никонской камеры в действительности.",2,1
47,Canon VS Nikon_objA,en,"Я был готов перейти к D800, когда читал о линзах TS, и что канон TS лучше и легче использовать, чем Nikon PE (по-моему, так они называются).","Я был готов перейти к D800, когда читал о линзах TS, и что канон TS лучше и легче использовать, чем Nikon PE (по-моему, так они называются).",1,1
48,Canon VS Nikon_objA,en,"Кэнон предлагает линзы получше, чем Nikon в этих двух диапазонах, но Nikon предлагает лучше тихие затворы и лучше Auto ISO в режиме M.","Кэнон предлагает линзы получше, чем Nikon в этих двух диапазонах, но Nikon предлагает лучше тихие затворы и лучше Auto ISO в режиме M.",2,2
49,Canon VS Nikon_objA,en,Никонские линзы определенно не выше канонических линз.,Никонские линзы определенно не выше канонических линз.,1,1
50,Canon VS Nikon_objA,en,"А потом приходит легко адаптируемость, Sony может быть лучше, чем Nikon, но оба хуже, чем Canon.","А потом приходит легко адаптируемость, Sony может быть лучше, чем Nikon, но оба хуже, чем Canon.",2,1
51,Canon VS Nikon_objB,en,"Это гораздо более приятно, легче и быстрее, чем что-либо из Канона.","Это гораздо более приятно, легче и быстрее, чем что-либо из Канона.",0,1
52,Canon VS Nikon_objB,en,"Никон поместил лучшие сенсоры в свои низкоканальные камеры, что означает, короче, что D3300 делает более красивые фотографии, чем сопоставимые канонические модели.","Никон поместил лучшие сенсоры в свои низкоканальные камеры, что означает, короче, что D3300 делает более красивые фотографии, чем сопоставимые канонические модели.",2,2
53,Canon VS Nikon_objB,en,"По этой причине, хотя результаты исследования показывают, что никон D800 выше всех других камер и намного лучше чем канон 5Dmk3, некоторые сэндвичи канона вторгаются в наши фотофорумы для дезинформации.","По этой причине, хотя результаты исследования показывают, что никон D800 выше всех других камер и намного лучше чем канон 5Dmk3, некоторые сэндвичи канона вторгаются в наши фотофорумы для дезинформации.",1,1
54,Canon VS Nikon_objB,en,"Там, где Nikon D3300 превосходен по сравнению с его первичным соревнованием, то, что сейчас Никон ставит лучшие сенсоры в свои низкоконтактные камеры, что означает, короче, что D3300 делает более красивые фотографии, чем сопоставимые модели Canon.","Там, где Nikon D3300 превосходен по сравнению с его первичным соревнованием, то, что сейчас Никон ставит лучшие сенсоры в свои низкоконтактные камеры, что означает, короче, что D3300 делает более красивые фотографии, чем сопоставимые модели Canon.",1,1
55,Canon VS Nikon_objB,en,"Канон F1n - это камера, которую я сожалею, что до сих пор не ласкаю... я думаю, она более гладкая, чем Лейка и очень хорошо сделанная... ИМО лучше сделала Никон F3 или F4.","Канон F1n - это камера, которую я сожалею, что до сих пор не ласкаю... я думаю, она более гладкая, чем Лейка и очень хорошо сделанная... ИМО лучше сделала Никон F3 или F4.",1,1
56,Canon VS Nikon_objB,en,Стекло Никона лучше канона.,Стекло Никона лучше канона.,2,2
57,Canon VS Nikon_objB,en,"Первый Pro Sony Alpha, Nikon D200, Konica Minolta5d (в свое время) были гораздо более конкретными, более разносторонними и более простыми в использовании, чем их эквивалент канона практически во всех отношениях.","Первый Pro Sony Alpha, Nikon D200, Konica Minolta5d (в свое время) были гораздо более конкретными, более разносторонними и более простыми в использовании, чем их эквивалент канона практически во всех отношениях.",2,1
58,Canon VS Nikon_objB,en,"В некотором усовершенствовании к своему предшественнику Nikon D610 теперь может стрелять на 6fps в своем полноформатном режиме FX, значительно быстрее D800 на 4fps из-за его датчика меньшего разрешения, а также быстрее, чем Canon EOS 6D на 4,5fps.","В некотором усовершенствовании к своему предшественнику Nikon D610 теперь может стрелять на 6fps в своем полноформатном режиме FX, значительно быстрее D800 на 4fps из-за его датчика меньшего разрешения, а также быстрее, чем Canon EOS 6D на 4,5fps.",1,1
59,Canon VS Nikon_objB,en,"Кэнон сейчас ниже Никона, так как у Никона просто есть сенсорная технология получше, чем у Канона.","Кэнон сейчас ниже Никона, так как у Никона просто есть сенсорная технология получше, чем у Канона.",1,1
60,Canon VS Nikon_objB,en,"Он быстрее, с лучшей AF-системой и датчиком изображений, чем любая из камер серии ""Rebel"", и во многих отношениях превышает даже (наверное, устаревший) Kanon 60D, что делает его очевидным выбором для большинства энтузиастов фотографии.","Он быстрее, с лучшей AF-системой и датчиком изображений, чем любая из камер серии ""Rebel"", и во многих отношениях превышает даже (наверное, устаревший) Kanon 60D, что делает его очевидным выбором для большинства энтузиастов фотографии.",0,2
61,Canon VS Nikon_objA,ru,Здесь Nikon все еще на три года отстает от Canon.,Здесь Nikon все еще на три года отстает от Canon.,1,1
62,Canon VS Nikon_objA,ru,"Датчик камеры Canon 5D MIV DSLR выше, чем у Nikon D850, тогда как разрешение у Nikon D850 лучше, чем у Canon 5D.","Датчик камеры Canon 5D MIV DSLR выше, чем у Nikon D850, тогда как разрешение у Nikon D850 лучше, чем у Canon 5D.",2,2
63,Canon VS Nikon_objA,ru,"Так что, хотя Nikon D7100 может быть лучше для вас, Canon 70D может быть лучше для меня.","Так что, хотя Nikon D7100 может быть лучше для вас, Canon 70D может быть лучше для меня.",0,2
64,Canon VS Nikon_objA,ru,"У Nikon вообще почти все дороже чем у Canon, хотя качество ни чуть не лучше.","У Nikon вообще почти все дороже чем у Canon, хотя качество ни чуть не лучше.",2,2
65,Canon VS Nikon_objA,ru,Мне у Nikon не нравится управление и нравится управление у Canon.,Мне у Nikon не нравится управление и нравится управление у Canon.,2,2
66,Canon VS Nikon_objA,ru,"6 основных преимуществ Nikon (по сравнению с Canon) Nikon можно считать меньшим из двух титанов, но есть несколько областей, в которых Canon находится в тени.","6 основных преимуществ Nikon (по сравнению с Canon) Nikon можно считать меньшим из двух титанов, но есть несколько областей, в которых Canon находится в тени.",0,2
67,Canon VS Nikon_objA,ru,Canon EOS 100D На миллиметр длиннее Nikon D3300 его «старший брат» - Nikon D5300.,Canon EOS 100D На миллиметр длиннее Nikon D3300 его «старший брат» - Nikon D5300.,2,1
68,Canon VS Nikon_objA,ru,"Если есть один серьезный недостаток полнокадровых камер Nikon по сравнению с Canon, это то, что их выбор объективов не такой, как у Canon.","Если есть один серьезный недостаток полнокадровых камер Nikon по сравнению с Canon, это то, что их выбор объективов не такой, как у Canon.",2,2
69,Canon VS Nikon_objA,ru,"Цветопередача у камеры Canon не идеальная, но у Nikon / Sony и того хуже.","Цветопередача у камеры Canon не идеальная, но у Nikon / Sony и того хуже.",2,2
70,Canon VS Nikon_objA,ru,"К примеру, линзы у Canon приблизительно на 10% дешевле, чем у Nikon.","К примеру, линзы у Canon приблизительно на 10% дешевле, чем у Nikon.",2,2
71,Canon VS Nikon_objB,ru,"ПОБЕДИТЕЛЬ: Когда дело доходит до Canon против Nikon для профессионалов, Canon лидирует.","ПОБЕДИТЕЛЬ: Когда дело доходит до Canon против Nikon для профессионалов, Canon лидирует.",2,2
72,Canon VS Nikon_objB,ru,"Но у Nikon получилось более-менее с первого же раза, а у Canon — нет.","Но у Nikon получилось более-менее с первого же раза, а у Canon — нет.",0,1
73,Canon VS Nikon_objB,ru,"Он «брезгует» Canon и любит Nikon, хотя и не пользуется им почти.","Он «брезгует» Canon и любит Nikon, хотя и не пользуется им почти.",0,2
74,Canon VS Nikon_objB,ru,"Минусы камер Canon Файлы Canon содержат меньше информации, чем файлы Nikon.","Минусы камер Canon Файлы Canon содержат меньше информации, чем файлы Nikon.",2,2
75,Canon VS Nikon_objB,ru,"Пожалуй лучшее стекло у Canon Буквально за месяц я продал все, что было от Nikon и купил Canon.","Пожалуй лучшее стекло у Canon Буквально за месяц я продал все, что было от Nikon и купил Canon.",1,1
76,Canon VS Nikon_objB,ru,"Он легче аналогов Canon/Nikon/Sigma на 200 грамм, компактней, на него подходят недорогие фильтры 67 мм, и он стоит дешевле Canon/Nikon.","Он легче аналогов Canon/Nikon/Sigma на 200 грамм, компактней, на него подходят недорогие фильтры 67 мм, и он стоит дешевле Canon/Nikon.",0,2
77,Canon VS Nikon_objB,ru,"Если сравнивать Canon 600D с ближайшим конкурентом Nikon D5000, то Nikon производит более приятное впечатление.","Если сравнивать Canon 600D с ближайшим конкурентом Nikon D5000, то Nikon производит более приятное впечатление.",2,2
78,Canon VS Nikon_objB,ru,"Традиционно считается, что автофокус и экспозамер Nikon чуть продвинутее, чем у Canon.","Традиционно считается, что автофокус и экспозамер Nikon чуть продвинутее, чем у Canon.",2,2
79,Canon VS Nikon_objB,ru,"Она не такая мягкая, как в топовых зеркалках Nikon, но мягче, чем у Canon.","Она не такая мягкая, как в топовых зеркалках Nikon, но мягче, чем у Canon.",0,2
80,Canon VS Nikon_objB,ru,"Качество объективов у компании Nikon однозначно выше, чем у Canon.","Качество объективов у компании Nikon однозначно выше, чем у Canon.",1,1
81,PHP VS Python_objA,en,"Мне нравится пользоваться пилонами, и я бы все равно использовала их, если бы они были медленнее, чем php.","Мне нравится пользоваться пилонами, и я бы все равно использовала их, если бы они были медленнее, чем php.",2,2
82,PHP VS Python_objA,en,"Я знаю, что обслуживание веб-страницы с базой Python через Cgi медленнее, чем php, из-за того, что каждый раз он долго стартовал.","Я знаю, что обслуживание веб-страницы с базой Python через Cgi медленнее, чем php, из-за того, что каждый раз он долго стартовал.",2,1
83,PHP VS Python_objA,en,"В различных контрольных показателях он медленнее, чем Руби и PHP.","В различных контрольных показателях он медленнее, чем Руби и PHP.",0,2
84,PHP VS Python_objA,en,"""PHP легче подобрать, чем Perl/Python/Ruby/etc"".","PHP легче подобрать, чем Perl/Python/Ruby/etc.",2,1
85,PHP VS Python_objA,en,"PHP с ускорителем MMAche примерно на 6x быстрее, чем Teh быстрейший Python!","PHP с ускорителем MMAche примерно на 6x быстрее, чем Teh быстрейший Python!",2,1
86,PHP VS Python_objA,en,"Ну, это показывает, что PHP бегает быстрее Python, но это уловка.","Ну, это показывает, что PHP бегает быстрее Python, но это уловка.",2,1
87,PHP VS Python_objA,en,"php оптимизирован для веб-программирования, так что он может быть быстрее Python.","php оптимизирован для веб-программирования, так что он может быть быстрее Python.",2,2
88,PHP VS Python_objA,en,"Я люблю PHP как язык больше, чем Python, так что я подумал, что я проверю рамки, чтобы сделать мою программную жизнь немного легче.","Я люблю PHP как язык больше, чем Python, так что я подумал, что я проверю рамки, чтобы сделать мою программную жизнь немного легче.",0,2
89,PHP VS Python_objA,en,"Я сам прогнал его и обнаружил, что PHP быстрее, чем Python и Ruby.","Я сам прогнал его и обнаружил, что PHP быстрее, чем Python и Ruby.",2,2
90,PHP VS Python_objA,en,"Обычно разработчики PHP дешевле и легче найти, чем разработчики PERL или Python.","Обычно разработчики PHP дешевле и легче найти, чем разработчики PERL или Python.",2,2
91,PHP VS Python_objB,en,"Однако Python выглядит лучше и во многих отношениях гораздо проще, и для многих задач гораздо проще, чем для php.","Однако Python выглядит лучше и во многих отношениях гораздо проще, и для многих задач гораздо проще, чем для php.",2,2
92,PHP VS Python_objB,en,"Нет, Питон намного лучше и легче, чем php.","Нет, Питон намного лучше и легче, чем php.",2,2
93,PHP VS Python_objB,en,"Бедный PHP код, вероятно, медленнее, чем высококачественный Python код, но хороший PHP может также работать лучше, чем бедный Python.","Бедный PHP код, вероятно, медленнее, чем высококачественный Python код, но хороший PHP может также работать лучше, чем бедный Python.",2,2
94,PHP VS Python_objB,en,"Python ""быстрее"", чем PHP, и поэтому Джанго может быть быстрее (у меня нет чисел), но последние контрольные показатели, которые я видел для Руби, показали его немного медленнее, чем PHP.","Python ""быстрее"", чем PHP, и поэтому Джанго может быть быстрее (у меня нет чисел), но последние контрольные показатели, которые я видел для Руби, показали его немного медленнее, чем PHP.",2,2
95,PHP VS Python_objB,en,"Что примерно в 9 раз (90%) быстрее Perl или PHP, и только в 3 раза (300%) медленнее C++.","Что примерно в 9 раз (90%) быстрее Perl или PHP, и только в 3 раза (300%) медленнее C++.",0,2
96,PHP VS Python_objB,en,"Кроме того, я обнаружил, что Python намного дружелюбнее PHP.","Кроме того, я обнаружил, что Python намного дружелюбнее PHP.",2,2
97,PHP VS Python_objB,en,Это исключение и обработка ошибок намного выше PHP или C#.,Это исключение и обработка ошибок намного выше PHP или C#.,0,1
98,PHP VS Python_objB,en,Python намного быстрее PHP.,Python намного быстрее PHP.,2,2
99,PHP VS Python_objB,en,"Вообще-то, я согласен с вами, что Питон выше PHP как язык.","Вообще-то, я согласен с вами, что Питон выше PHP как язык.",2,2
100,PHP VS Python_objB,en,"П.с. Для меня Питон легче, чем PHP lol.","П.с. Для меня Питон легче, чем PHP lol.",2,1
101,PHP VS Python_objA,ru,"Как бы не мне нравился Python, но при выборе backend только из Python и PHP — настоятельно рекомендую выбирать PHP.","Как бы не мне нравился Python, но при выборе backend только из Python и PHP — настоятельно рекомендую выбирать PHP.",2,2
102,PHP VS Python_objA,ru,"PhpStorm Если JetBrains кажется вам компанией IDE, но , вам больше нравится PHP , чем Python, не бойтесь.","PhpStorm Если JetBrains кажется вам компанией IDE, но , вам больше нравится PHP , чем Python, не бойтесь.",0,1
103,PHP VS Python_objA,ru,Так почему переусложнённый проект на Python вместо примитивнейших 50 строк кода на PHP?,Так почему переусложнённый проект на Python вместо примитивнейших 50 строк кода на PHP?,1,2
104,PHP VS Python_objA,ru,"Как отмечается, в России язык PHP пользуется даже большим спросом, чем Python, при этом конкуренция гораздо ниже.","Как отмечается, в России язык PHP пользуется даже большим спросом, чем Python, при этом конкуренция гораздо ниже.",2,2
105,PHP VS Python_objA,ru,"Неужели настолько высок порог в тот же node, что людям действительно проще сидеть на Python/php/ruby?","Неужели настолько высок порог в тот же node, что людям действительно проще сидеть на Python/php/ruby?",0,2
106,PHP VS Python_objA,ru,"Отличным достоянием стало и развитие python, хоть его стилистика достаточно извращена для поклонника php/delphi.","Отличным достоянием стало и развитие python, хоть его стилистика достаточно извращена для поклонника php/delphi.",1,2
107,PHP VS Python_objB,ru,И уже многие отказываются от старого php и переходят как раз на Python.,И уже многие отказываются от старого php и переходят как раз на Python.,0,2
108,PHP VS Python_objB,ru,"Здесь и Python, ставший для меня основным языком программирования, вытеснив PHP.","Здесь и Python, ставший для меня основным языком программирования, вытеснив PHP.",1,2
109,PHP VS Python_objB,ru,"Здесь Python определенно является победителем — его синтаксис проще и легче, чем у PHP.","Здесь Python определенно является победителем — его синтаксис проще и легче, чем у PHP.",2,2
110,PHP VS Python_objB,ru,"До недавнего времени в этой области лидировал PHP, но Python и Ruby набирают обороты.","До недавнего времени в этой области лидировал PHP, но Python и Ruby набирают обороты.",1,2
