	labels	answer	Object1	Object2	CommonObj	Aspect	text	preds	prob: Neutral	prob: objekt1	prob: objekt2
30	0	Баскетболисты и футболисты могут использовать полуприседания для улучшения позиционирования и вертикального прыжка с места. полуприседания как выполнять встаньте под стойку для приседаний и поместите штангу на верхние трапы.	баскетбол	футбол			[FIRST_ENTITY] и [SECOND_ENTITY] могут использовать полуприседания для улучшения позиционирования и вертикального прыжка с места. полуприседания как выполнять встаньте под стойку для приседаний и поместите штангу на верхние трапы.	0	0.99954814	0.00020886358	0.00024292225
31	1	Разработчики самолета говорят о том, что будущий лайнер по техническим характеристикам будет лучше продукции конкурентов — boeing и airbus.	Boeing	Airbus	самолет		Разработчики самолета говорят о том, что будущий лайнер по техническим характеристикам будет лучше продукции конкурентов — [FIRST_ENTITY] и [SECOND_ENTITY].	0	0.999556	0.00020156414	0.00024239607
32	0	Например, в начале и в конце менструации лучше использовать тампон или прокладку на 2-3 капельки, в разгар – 4-6.	тампон	прокладк			Например, в начале и в конце менструации лучше использовать [FIRST_ENTITY] или [SECOND_ENTITY] на 2-3 капельки, в разгар – 4-6.	0	0.9995259	0.00022681372	0.0002472416
33	0	Выходит, и термин без надобности. фото: ap спор, который уже больше 10 лет ведут между собой за звание лучшего футболиста планеты месси и криштиану роналду, подходит к концу.	роналду	месси		больш	Выходит, и термин без надобности. фото: ap спор, который уже больше 10 лет ведут между собой за звание лучшего футболиста планеты [SECOND_ENTITY] и криштиану [FIRST_ENTITY], подходит к концу.	0	0.9985783	0.00083516684	0.0005864947
34	2	Понятно, что когда есть интернет проводной, не хочется весь дом опутывать проводами дополнительно, легче его раздать способами беспроводными.	проводн	беспроводн		интернет	Понятно, что когда есть интернет [FIRST_ENTITY], не хочется весь дом опутывать проводами дополнительно, легче его раздать способами [SECOND_ENTITY].	2	0.26107937	0.017281521	0.7216391
35	0	Да, в нынешнем состоянии биткоин не слишком удобен для транзакций; с его помощью сложно купить чашку эспрессо без кофеина в ближайшем автомате.	коф	ча		кофеин	Да, в нынешнем состоянии биткоин не слишком удобен для транзакций; с его помощью сложно купить [SECOND_ENTITY] эспрессо без [FIRST_ENTITY] в ближайшем автомате.	0	0.9975178	0.0015044927	0.0009777031
36	0	Как сделать это правильно? ... исковая оптимизация ( seo ) или оптимизация для поисковых систем - это методы, направленные на улучшение позиционирования ваших страниц в поисковых системах, таких как google, bing, yahoo и других.	Google	Yahoo		поиск	Как сделать это правильно? ... исковая оптимизация ( seo ) или оптимизация для поисковых систем - это методы, направленные на улучшение позиционирования ваших страниц в поисковых системах, таких как [FIRST_ENTITY], bing, [SECOND_ENTITY] и других.	0	0.999495	0.0002456527	0.0002592473
37	2	Секция listening в toefl немного сложнее, чем в ielts.	IELTS	TOEFL			Секция listening в [SECOND_ENTITY] немного сложнее, чем в [FIRST_ENTITY].	2	0.0024383974	0.01306294	0.9844987
38	0	Однако данные показатели являются относительными, поскольку животные, так же, как и люди, могут вынашивать плод дольше или, наоборот, меньше.	люд	животн			Однако данные показатели являются относительными, поскольку [SECOND_ENTITY], так же, как и [FIRST_ENTITY], могут вынашивать плод дольше или, наоборот, меньше.	0	0.9993413	0.00035578737	0.00030281767
39	1	Высокая производительность: скрипты, написанные на php, обычно выполняются или работают быстрее, чем на других языках, таких как asp, ruby, python, java и т. д.	ASP	PHP			Высокая производительность: скрипты, написанные на [SECOND_ENTITY], обычно выполняются или работают быстрее, чем на других языках, таких как [FIRST_ENTITY], ruby, python, java и т. д.	1	0.0014163865	0.99829453	0.00028908876
40	0	В круглых и квадратных контейнерах растение лучше всего смотрится, если поместить его в центре.	квадратн	кругл	контейнер		В [SECOND_ENTITY] и [FIRST_ENTITY] контейнерах растение лучше всего смотрится, если поместить его в центре.	0	0.9995301	0.00022418973	0.00024568077
41	2	Полезные жареные цукини советы: для достижения наилучших результатов лучше всего запекать их двумя порциями, чтобы крошки не слипались.	запека	жар		полезн	Полезные [SECOND_ENTITY] цукини советы: для достижения наилучших результатов лучше всего [FIRST_ENTITY] их двумя порциями, чтобы крошки не слипались.	0	0.9882516	0.0070153023	0.0047330265
42	0	В отличие от кофе и чая, в какао мало кофеина, но больше полезного теобромина, который тоже оказывает стимулирующее воздействие на организм, но влияет на нас гораздо мягче кофеина.	коф	ча		кофеин	В отличие от [FIRST_ENTITY] и [SECOND_ENTITY], в какао мало [FIRST_ENTITY], но больше полезного теобромина, который тоже оказывает стимулирующее воздействие на организм, но влияет на нас гораздо мягче [FIRST_ENTITY].	0	0.99777406	0.0013808092	0.00084507413
43	0	Viasat sport – смотрите в прямом эфире с профессиональным комментарием эксклюзивные трансляции лучшего в мире баскетбола nba, бейсбола, бокса, хоккея, автогонок, американского футбола и других видов спорта.	баскетбол	футбол			Viasat sport – смотрите в прямом эфире с профессиональным комментарием эксклюзивные трансляции лучшего в мире [FIRST_ENTITY] nba, бейсбола, бокса, хоккея, автогонок, американского [SECOND_ENTITY] и других видов спорта.	0	0.9993536	0.00034177364	0.0003046477
44	2	Применение тампонов может вызвать неосторожное занесение заразы, исходя из этого в данный период лучше пользоваться прокладками.	тампон	прокладк			Применение [FIRST_ENTITY] может вызвать неосторожное занесение заразы, исходя из этого в данный период лучше пользоваться [SECOND_ENTITY].	2	0.0021233854	0.0006640407	0.9972126
45	1	5 причин, почему google pixel лучше iphone 7.	google, pixel	iphone, 7			5 причин, почему [FIRST_ENTITY] лучше [SECOND_ENTITY].	1	0.0011828227	0.9985738	0.00024343858
46	0	Главное решение этой проблемы — не стоит отказываться от чая совсем, лучше употреблять его с утра, тогда и кофеин пойдёт на пользу.	коф	ча		кофеин	Главное решение этой проблемы — не стоит отказываться от [SECOND_ENTITY] совсем, лучше употреблять его с утра, тогда и [FIRST_ENTITY] пойдёт на пользу.	0	0.9145813	0.05336924	0.032049485
47	0	Чем больше капелек, тем на дольше хватает тампона/прокладки до следующей их замены.	тампон	прокладк			Чем больше капелек, тем на дольше хватает [FIRST_ENTITY]/[SECOND_ENTITY] до следующей их замены.	0	0.99950993	0.00023553005	0.00025454586
48	2	Так как ноги сноубордиста закреплены на одной доске и в одном направлении, ему обычно бывает сложнее объезжать внезапно возникшие на пути препятствия, чего не скажешь о лыжнике, который может двигать ногами в разных направлениях.	лыж	сноуборд		сложн	Так как ноги [SECOND_ENTITY] закреплены на одной доске и в одном направлении, ему обычно бывает сложнее объезжать внезапно возникшие на пути препятствия, чего не скажешь о [FIRST_ENTITY], который может двигать ногами в разных направлениях.	0	0.87651485	0.08308731	0.04039789
49	0	Microsoft реализует в wsl доступ к gpu и запуск графических приложений linux компания microsoft объявила о реализации значительных улучшений в подсистеме wsl (windows subsystem for linux), обеспечивающей запуск исполняемых файлов linux в windows....	linux	Microsoft			[SECOND_ENTITY] реализует в wsl доступ к gpu и запуск графических приложений [FIRST_ENTITY] компания [SECOND_ENTITY] объявила о реализации значительных улучшений в подсистеме wsl (windows subsystem for [FIRST_ENTITY]), обеспечивающей запуск исполняемых файлов [FIRST_ENTITY] в windows....	0	0.99850404	0.0008859438	0.000610093
50	0	Средства гигиены для девочки что лучше применять в подростковом возрасте – прокладки или тампоны?	тампон	прокладк			Средства гигиены для девочки что лучше применять в подростковом возрасте – [SECOND_ENTITY] или [FIRST_ENTITY]?	0	0.999548	0.00020890222	0.0002430251
51	1	Для более плотного слоя лучше наносить пудру спонжем, а не кистью.	кист	спонж			Для более плотного слоя лучше наносить пудру [SECOND_ENTITY], а не [FIRST_ENTITY].	1	0.002048152	0.99764156	0.0003102253
52	1	Я бы даже сказала, что этим спонжем удобней наносить тени, так как они почти не пылят при наборе, в отличие, если набирать тени на пушистую кисть (синтетическую).	кист	спонж			Я бы даже сказала, что этим [SECOND_ENTITY] удобней наносить тени, так как они почти не пылят при наборе, в отличие, если набирать тени на пушистую [FIRST_ENTITY] (синтетическую).	1	0.002770073	0.9967932	0.00043667373
53	1	Собачья слюна чище человеческой natashafedorova / depositphotos собаки куда умнее, добрее и преданнее людей.	собак	люд			Собачья слюна чище человеческой natashafedorova / depositphotos [FIRST_ENTITY] куда умнее, добрее и преданнее [SECOND_ENTITY].	1	0.10972633	0.8738288	0.01644492
54	1	Так что запекать в духовке целые картофелины не только проще, чем жарить на сковороде, но еще и полезнее.	запека	жар		полезн	Так что [FIRST_ENTITY] в духовке целые картофелины не только проще, чем [SECOND_ENTITY] на сковороде, но еще и полезнее.	1	0.0011625903	0.99858594	0.00025157866
55	0	Для должной работоспособности лучше использовать что-то менее экзотическое: firefox, internet explorer, opera, safari или chrome.	Internet, Explorer	Firefox			Для должной работоспособности лучше использовать что-то менее экзотическое: [SECOND_ENTITY], [FIRST_ENTITY], opera, safari или chrome.	0	0.99954224	0.00020938728	0.00024843833
56	0	Техники также разные — спонжем или кисточкой, структуры тональных средств тоже на любой вкус — жидкие и густые, которые предварительно нужно нагревать феном, чтобы они ровнее ложились, — этот способ применяется для нанесения тона на пористую кожу.	кист	спонж			Техники также разные — [SECOND_ENTITY] или [FIRST_ENTITY], структуры тональных средств тоже на любой вкус — жидкие и густые, которые предварительно нужно нагревать феном, чтобы они ровнее ложились, — этот способ применяется для нанесения тона на пористую кожу.	0	0.99952984	0.00022821888	0.00024204093
57	1	Программа поддерживает 32- и 64-разрядные операционные системы семейств microsoft windows nt 5 (я устанавливал и в xp и в win 7) и новее (gui-интерфейс), linux и mac os x.	linux	Microsoft			Программа поддерживает 32- и 64-разрядные операционные системы семейств [SECOND_ENTITY] windows nt 5 (я устанавливал и в xp и в win 7) и новее (gui-интерфейс), [FIRST_ENTITY] и mac os x.	0	0.99888355	0.0006412904	0.00047512027
58	1	Во время критических дней лучше также использовать прокладки, а не тампоны.	тампон	прокладк			Во время критических дней лучше также использовать [SECOND_ENTITY], а не [FIRST_ENTITY].	1	0.0017029467	0.99802655	0.00027046684
59	1	Мне тут заказчик сказал, что якобы для работы с анализом данных r лучше чем python, может кто-то что-то знает по этому поводу?	Python	R		анализ, данны	Мне тут заказчик сказал, что якобы для работы с анализом данных [SECOND_ENTITY] лучше чем [FIRST_ENTITY], может кто-то что-то знает по этому поводу?	1	0.0019105177	0.99774534	0.0003441543
60	1	Таким образом, apple iphone 7 оказался в два два раза быстрее samsung galaxy s7 и google pixel, которые являются флагманами на базе операционной системы android.	google, pixel	iphone, 7			Таким образом, apple [SECOND_ENTITY] оказался в два два раза быстрее samsung galaxy s7 и [FIRST_ENTITY], которые являются флагманами на базе операционной системы android.	1	0.0031756428	0.9959985	0.00082590897
61	0	Авиакомпания летает только на современнейших моделях самолетов — airbus и boeing.	Boeing	Airbus	самолет		Авиакомпания летает только на современнейших моделях самолетов — [SECOND_ENTITY] и [FIRST_ENTITY].	0	0.99955815	0.00019214432	0.0002496631
62	0	Когда лучше тренироваться тренировки лучше проводить в определенное время, а именно – утром с 11 до 13, а вечером с 17 до 19.	утр	вечер		тренирова	Когда лучше тренироваться тренировки лучше проводить в определенное время, а именно – [FIRST_ENTITY] с 11 до 13, а [SECOND_ENTITY] с 17 до 19.	0	0.98445594	0.011072668	0.0044713547
63	0	По словамъ одного англiйскаго ювелира лучшая и самая драгоцѣнная бирюза составляетъ въ настоящее время собственность извѣстнаго магараджи улепсинга, бывшаго лагорскаго короля, нынѣ постоянно живущаго въ парижѣ и часто прiѣзжающаго и въ лондонъ.	лондон	париж			По словамъ одного англiйскаго ювелира лучшая и самая драгоцѣнная бирюза составляетъ въ настоящее время собственность извѣстнаго магараджи улепсинга, бывшаго лагорскаго короля, нынѣ постоянно живущаго въ [SECOND_ENTITY] и часто прiѣзжающаго и въ [FIRST_ENTITY].	0	0.99365544	0.0038762249	0.0024682882
64	1	Доказано, что запекать продукты полезнее, чем жарить.	запека	жар		полезн	Доказано, что [FIRST_ENTITY] продукты полезнее, чем [SECOND_ENTITY].	1	0.0009712593	0.9987841	0.00024463734
65	0	В ежегодном исследовании cushman & wakefield ( european cities monitor , 2010) франкфурт уже более 20 лет занимает третье место как лучшее место для размещения международных корпораций в европе (после лондона и парижа).	лондон	париж			В ежегодном исследовании cushman & wakefield ( european cities monitor , 2010) франкфурт уже более 20 лет занимает третье место как лучшее место для размещения международных корпораций в европе (после [FIRST_ENTITY] и [SECOND_ENTITY]).	0	0.9995332	0.00021558764	0.00025126894
66	2	Для разделов данных в linux, которые должны быть доступны в windows лучше использовать fat, а не ntfs, поскольку она поддерживается лучше.	windows	linux			Для разделов данных в [SECOND_ENTITY], которые должны быть доступны в [FIRST_ENTITY] лучше использовать fat, а не ntfs, поскольку она поддерживается лучше.	0	0.99810225	0.0011216972	0.0007760909
67	0	Автокредит в автосалоне или отдельно в банке – где лучше взять?	автосалон	банк		автокред	Автокредит в [FIRST_ENTITY] или отдельно в [SECOND_ENTITY] – где лучше взять?	0	0.9994068	0.00030913163	0.0002840357
68	2	Почти как настоящая тем, кто страдает аллергией и поллинозом, лучше предпочесть искусственную елку.	настоя	искусствен	елк	лучш	Почти как [FIRST_ENTITY] тем, кто страдает аллергией и поллинозом, лучше предпочесть [SECOND_ENTITY] елку.	2	0.0020820305	0.00082517706	0.9970927
69	0	«бюджетные авиалинии прибыльны за счет экономии на питании, закупки однотипных самолетов (практически во всех low-cost компаниях это либо boeing-737, либо airbus a320.—ъ) и становятся в мире все популярнее.	Boeing	Airbus	самолет		«бюджетные авиалинии прибыльны за счет экономии на питании, закупки однотипных самолетов (практически во всех low-cost компаниях это либо [FIRST_ENTITY]-737, либо [SECOND_ENTITY] a320.—ъ) и становятся в мире все популярнее.	0	0.9995409	0.00021482029	0.000244321
70	1	Котлеты из говядины в духовке запекать с помощью духового шкафа гораздо полезнее, чем жарить – это знает каждая хозяюшка.	запека	жар		полезн	Котлеты из говядины в духовке [FIRST_ENTITY] с помощью духового шкафа гораздо полезнее, чем [SECOND_ENTITY] – это знает каждая хозяюшка.	1	0.0011978034	0.9985671	0.00023508581
71	1	Текущий двухъядерный процессор по информации можно ожидать быстрее, чем старый четырехъядерный процессор.	двухъядерн	четырехъядерн	процессор		Текущий [FIRST_ENTITY] процессор по информации можно ожидать быстрее, чем старый [SECOND_ENTITY] процессор.	1	0.0014005331	0.9983187	0.00028092042
72	0	Выводы единого мнения по поводу того, что лучше, тампон или прокладка, не существует как среди врачей, так и женщин.	тампон	прокладк			Выводы единого мнения по поводу того, что лучше, [FIRST_ENTITY] или [SECOND_ENTITY], не существует как среди врачей, так и женщин.	0	0.99954456	0.00021412503	0.00024124529
73	1	Прокладки безопаснее, чем тампоны.	тампон	прокладк			[SECOND_ENTITY] безопаснее, чем [FIRST_ENTITY].	1	0.0010997328	0.9986532	0.00024700759
74	2	Онлайн чат whatsapp книги нон-фикшн -тайная история вещей по их мнению, вагинальные тампоны гораздо опасней, чем прокладки, подгузники, просто вата или туалетная бумага: они входят в тесный контакт с телом, а это создает условия для проникновения ...	тампон	прокладк			Онлайн чат whatsapp книги нон-фикшн -тайная история вещей по их мнению, вагинальные [FIRST_ENTITY] гораздо опасней, чем [SECOND_ENTITY], подгузники, просто вата или туалетная бумага: они входят в тесный контакт с телом, а это создает условия для проникновения ...	2	0.0011736077	0.0012245652	0.9976018
75	0	У студентов программ высшего образования после окончания 1-го года обучения появляется отличная возможность провести 2 или 3 год обучения в филиалах istituto marangoni в лондоне или париже.	лондон	париж			У студентов программ высшего образования после окончания 1-го года обучения появляется отличная возможность провести 2 или 3 год обучения в филиалах istituto marangoni в [FIRST_ENTITY] или [SECOND_ENTITY].	0	0.9995535	0.00019642217	0.00025012787
76	0	Знание спорта делать стаки в букмекрських конторах лучше всего если вы знаток футбола или баскетбола или иного спорта и знаете положение команд, можете реально оценить соперников, а не глядя на коэффициенты в конторе.	баскетбол	футбол			Знание спорта делать стаки в букмекрських конторах лучше всего если вы знаток [SECOND_ENTITY] или [FIRST_ENTITY] или иного спорта и знаете положение команд, можете реально оценить соперников, а не глядя на коэффициенты в конторе.	0	0.99952173	0.00022780866	0.0002504641
77	0	Почти везде есть проводной или беспроводной доступ к высокоскоростному и безлимитному интернету, а потому удобнее всего смотреть видео онлайн.	проводн	беспроводн		интернет	Почти везде есть [FIRST_ENTITY] или [SECOND_ENTITY] доступ к высокоскоростному и безлимитному интернету, а потому удобнее всего смотреть видео онлайн.	0	0.99955946	0.00020007025	0.00024046905
78	0	Современные трассы различных уровней сложности предназначены для занятий любимыми видами спорта – горнолыжными лыжами, сноубордом и пр.	лыж	сноуборд		сложн	Современные трассы различных уровней сложности предназначены для занятий любимыми видами спорта – горнолыжными [FIRST_ENTITY], [SECOND_ENTITY] и пр.	0	0.99955827	0.00019005581	0.00025166039
79	1	Баскетбол и в латвии намного популярнее футбола.	баскетбол	футбол			[FIRST_ENTITY] и в латвии намного популярнее [SECOND_ENTITY].	2	0.002155939	0.0013585567	0.9964855
