	labels	answer	Object1	Object2	CommonObj	Aspect	text	prob: Neutral	prob: objekt1	prob: objekt2	preds
10	0	Теперь футбольные и баскетбольные матчи местной детворы будут проходить безопаснее.	баскетбол	футбол			Теперь [SECOND_ENTITY] и [FIRST_ENTITY] матчи местной детворы будут проходить безопаснее.	0.9747356	0.020468017	0.004796444	0
11	1	Apple рассказала, что не так с google pay по сравнению с apple pay apple уверена, что apple pay намного безопаснее, чем google pay, потому что использует особую технологию аппаратной защиты, не говоря уже о банальном удобстве.	Apple	Google		технолог	[FIRST_ENTITY] рассказала, что не так с [SECOND_ENTITY] pay по сравнению с [FIRST_ENTITY] pay [FIRST_ENTITY] уверена, что [FIRST_ENTITY] pay намного безопаснее, чем [SECOND_ENTITY] pay, потому что использует особую технологию аппаратной защиты, не говоря уже о банальном удобстве.	0.16983879	0.6430179	0.18714339	1
12	1	Для приготовления лучше использовать круглую или овальную посуду, так как в квадратном либо прямоугольном контейнере пища зачастую неравномерно готовится по углам.	квадратн	кругл	контейнер		Для приготовления лучше использовать [SECOND_ENTITY] или овальную посуду, так как в [FIRST_ENTITY] либо прямоугольном контейнере пища зачастую неравномерно готовится по углам.	0.58813614	0.33425185	0.07761201	0
13	0	В чашке чая содержится около 40-60 мг «чайного кофеина», который намного мягче воспринимается организмом — практически исключена передозировка, а мягкий бодрящий эффект сохраняется в течении 5 часов.	коф	ча		кофеин	В [SECOND_ENTITY] [SECOND_ENTITY] содержится около 40-60 мг «[SECOND_ENTITY] [FIRST_ENTITY]», который намного мягче воспринимается организмом — практически исключена передозировка, а мягкий бодрящий эффект сохраняется в течении 5 [SECOND_ENTITY].	0.18897562	0.62887526	0.18214913	1
14	0	Aero / youtube диспетчера, который допустил инцидент с опасным сближением самолетов boeing 777 и airbus a320 в небе над российским городом, уволили с должности.	Boeing	Airbus	самолет		Aero / youtube диспетчера, который допустил инцидент с опасным сближением самолетов [FIRST_ENTITY] 777 и [SECOND_ENTITY] a320 в небе над российским городом, уволили с должности.	0.9775373	0.017976725	0.004485993	0
15	0	Современные трассы различных уровней сложности предназначены для занятий любимыми видами спорта – горнолыжными лыжами, сноубордом и пр.	лыж	сноуборд		сложн	Современные трассы различных уровней сложности предназначены для занятий любимыми видами спорта – горнолыжными [FIRST_ENTITY], [SECOND_ENTITY] и пр.	0.9810004	0.015083779	0.003915708	0
16	0	Рассмотрим, где лучше взять автокредит — в банке или в автосалоне.	автосалон	банк		автокред	Рассмотрим, где лучше взять автокредит — в [SECOND_ENTITY] или в [FIRST_ENTITY].	0.98146373	0.014348072	0.0041880873	0
17	0	Другие ресурсы mig и tig | типы сварки, материалы и области применения виды методов сварки mig против tig: какой из них лучше всего подходит для вашего применения?	mig	tig		сварк	Другие ресурсы [FIRST_ENTITY] и [SECOND_ENTITY] | типы сварки, материалы и области применения виды методов сварки [FIRST_ENTITY] против [SECOND_ENTITY]: какой из них лучше всего подходит для вашего применения?	0.9818802	0.0139427725	0.004176984	0
18	1	Все цвета очень пигментированные и лучше растушёвываются пальцами или спонжем, чем кистью.	кист	спонж			Все цвета очень пигментированные и лучше растушёвываются пальцами или [SECOND_ENTITY], чем [FIRST_ENTITY].	0.16874681	0.64446473	0.18678851	1
19	1	В москве лучше, чем в нью-йорке, лондоне, париже или берлине...	лондон	париж			В москве лучше, чем в нью-йорке, [FIRST_ENTITY], [SECOND_ENTITY] или берлине...	0.9823642	0.013556922	0.004079005	0
20	0	Командные виды спорта, такие как баскетбол, волейбол или футбол, — все это отличные способы заставить ваше сердце биться быстрее, наряду с такими вещами, как скейтбординг, езда на велосипеде и танцы.	скейтборд	велосипед			Командные виды спорта, такие как баскетбол, волейбол или футбол, — все это отличные способы заставить ваше сердце биться быстрее, наряду с такими вещами, как [FIRST_ENTITY], езда на [SECOND_ENTITY] и танцы.	0.9772488	0.018182121	0.0045689777	0
21	0	Жидкое средство лучше наносить спонжем или бьюти-блендером, в то время как кремообразный корректор – кистью или пальцами.	кист	спонж			Жидкое средство лучше наносить [SECOND_ENTITY] или бьюти-блендером, в то время как кремообразный корректор – [FIRST_ENTITY] или пальцами.	0.27811196	0.57750595	0.1443821	1
22	0	На очищенное и увлажненное лицо с помощью спонжа или специальной кисти нанести тональный крем, аккуратно и равномерно растушевать, чтобы не было видно границ.	кист	спонж			На очищенное и увлажненное лицо с помощью [SECOND_ENTITY] или специальной [FIRST_ENTITY] нанести тональный крем, аккуратно и равномерно растушевать, чтобы не было видно границ.	0.9748589	0.020211847	0.0049292	0
23	1	Победить sony сможет из-за лучшего географического охвата — ps4 будет лучше продаваться в европе и японии, в то время как xbox one традиционно захватит американский рынок.	ps4	xbox, one			Победить sony сможет из-за лучшего географического охвата — [FIRST_ENTITY] будет лучше продаваться в европе и японии, в то время как [SECOND_ENTITY] традиционно захватит американский рынок.	0.17278746	0.6380909	0.18912157	1
24	0	Продажа велосипедов, сноубордов, лонгбордов, скейтбордов, горнолыжного оборудования, see more роликовых и ледовых коньков, всё для туризма и отдыха, а так же акссесуары и экипировка, лучшего качества.	скейтборд	велосипед			Продажа [SECOND_ENTITY], сноубордов, лонгбордов, [FIRST_ENTITY], горнолыжного оборудования, see more роликовых и ледовых коньков, всё для туризма и отдыха, а так же акссесуары и экипировка, лучшего качества.	0.9810105	0.014980358	0.0040091504	0
25	0	Возраст и иностранные языки часто возникает вопрос: в каком возрасте лучше изучать иностранный язык - английский, немецкий, французский, испанский, итальянский - и имеет ли принципиальное значение возраст обучаемого?	английск	испанск	язык		Возраст и иностранные языки часто возникает вопрос: в каком возрасте лучше изучать иностранный язык - [FIRST_ENTITY], немецкий, французский, [SECOND_ENTITY], итальянский - и имеет ли принципиальное значение возраст обучаемого?	0.9837859	0.011752964	0.004461071	0
26	0	Используя качественную кисть, вы распределяете макияж по всему по лицу не хуже, чем спонжем.	кист	спонж			Используя качественную [FIRST_ENTITY], вы распределяете макияж по всему по лицу не хуже, чем [SECOND_ENTITY].	0.16885097	0.64461136	0.18653767	1
27	0	Обама четко заявил, что таллин, рига и вильнюс защищены не хуже, чем париж, берлин и лондон.	лондон	париж			Обама четко заявил, что таллин, рига и вильнюс защищены не хуже, чем [SECOND_ENTITY], берлин и [FIRST_ENTITY].	0.18986978	0.6297191	0.1804111	1
28	0	Как работают карты социального дистанцирования apple и google новые инструменты технологических гигантов, используя геоданные с ваших телефонов, демонстрируют сильнейшее влияние изоляции на ...	Apple	Google		технолог	Как работают карты социального дистанцирования [FIRST_ENTITY] и [SECOND_ENTITY] новые инструменты технологических гигантов, используя геоданные с ваших телефонов, демонстрируют сильнейшее влияние изоляции на ...	0.9822432	0.013813288	0.0039435993	0
29	0	Что лучше – тампон или прокладка?	тампон	прокладк			Что лучше – [FIRST_ENTITY] или [SECOND_ENTITY]?	0.98382735	0.012071515	0.0041010515	0
30	0	(фото из инстаграма кейли куоко aka пенни) в инстаграме есть все лучшие люди, от саши грей до гомера симпсона и питера гриффина.	гриффин	симпсон			(фото из инстаграма кейли куоко aka пенни) в инстаграме есть все лучшие люди, от саши грей до гомера [SECOND_ENTITY] и питера [FIRST_ENTITY].	0.9796656	0.016113581	0.004220853	0
31	0	Каждый из этих сладких батончиков содержит 14 граммов белка, всего 160 калорий.кроме того, в каждом есть только один грамм сахара и никаких искусственных подсластителей — лучше не бывает.	искусствен, подсластител	бел, сахар			Каждый из этих сладких батончиков содержит 14 граммов белка, всего 160 калорий.кроме того, в каждом есть только один грамм [SECOND_ENTITY] и никаких [FIRST_ENTITY] — лучше не бывает.	0.1746043	0.639279	0.18611668	1
32	0	Светлее парижа, интереснее лондона и чище чуть ли не любой столицы мира.	лондон	париж			Светлее [SECOND_ENTITY], интереснее [FIRST_ENTITY] и чище чуть ли не любой столицы мира.	0.16953112	0.6433894	0.18707952	1
33	1	Microsoft приводит данные, что эксплуатация (total cost of ownership, tco) windows xp обходится на 37% дешевле, чем unix, и что нет причин считать, что в этом смысле linux чем-то отличается от других unix.	linux	Microsoft			[SECOND_ENTITY] приводит данные, что эксплуатация (total cost of ownership, tco) windows xp обходится на 37% дешевле, чем unix, и что нет причин считать, что в этом смысле [FIRST_ENTITY] чем-то отличается от других unix.	0.16976587	0.64387196	0.18636215	1
34	0	Курорт церматт предлагает самую роскошную территорию катания на лыжах и сноубордах с километрами трасс всех уровней сложности, общей протяженностью 200 км.	лыж	сноуборд		сложн	Курорт церматт предлагает самую роскошную территорию катания на [FIRST_ENTITY] и [SECOND_ENTITY] с километрами трасс всех уровней сложности, общей протяженностью 200 км.	0.97791755	0.017698951	0.0043835766	0
35	0	На самом деле ничего страшного нет, научиться кататься на гироскутере быстрее чем на велосипеде, скейтборде, роликах или коньках.	скейтборд	велосипед			На самом деле ничего страшного нет, научиться кататься на гироскутере быстрее чем на [SECOND_ENTITY], [FIRST_ENTITY], роликах или коньках.	0.9134343	0.07351074	0.01305489	0
36	2	Принято считать, что сдать ielts сложнее, чем toefl, ведь в письменной части приходится разбирать графики, карты или таблицы, однако абитуриенты, попробовавшие оба тестирования, с такими заключениями не всегда согласны.	IELTS	TOEFL			Принято считать, что сдать [FIRST_ENTITY] сложнее, чем [SECOND_ENTITY], ведь в письменной части приходится разбирать графики, карты или таблицы, однако абитуриенты, попробовавшие оба тестирования, с такими заключениями не всегда согласны.	0.17380574	0.63856655	0.18762773	1
37	2	Применение тампонов может вызвать неосторожное занесение заразы, исходя из этого в данный период лучше пользоваться прокладками.	тампон	прокладк			Применение [FIRST_ENTITY] может вызвать неосторожное занесение заразы, исходя из этого в данный период лучше пользоваться [SECOND_ENTITY].	0.1687499	0.64301324	0.18823686	1
38	1	Беспроводной интернет по pre-wimax сети untc net сегодня лучшая альтернатива мобильным беспроводным решениям cdma и 3g для людей, которые живут и работают в районах с плохо развитой проводной инфраструктурой.	проводн	беспроводн		интернет	[SECOND_ENTITY] интернет по pre-wimax сети untc net сегодня лучшая альтернатива мобильным [SECOND_ENTITY] решениям cdma и 3g для людей, которые живут и работают в районах с плохо развитой [FIRST_ENTITY] инфраструктурой.	0.19326557	0.61838436	0.18835002	1
39	0	Физиотерапия и вспомогательные устройства физиотерапевты, эрготерапевты и хиропрактики могут предоставить: специальные упражнения для стабилизации суставов и облегчения боли.	хиропрактик	физиотерап		бол	[SECOND_ENTITY] и вспомогательные устройства [SECOND_ENTITY], эрготерапевты и [FIRST_ENTITY] могут предоставить: специальные упражнения для стабилизации суставов и облегчения боли.	0.9773292	0.018247329	0.004423529	0
40	1	Для достижения максимального эффекта лучше использовать поролоновый спонж или кисточку.	кист	спонж			Для достижения максимального эффекта лучше использовать поролоновый [SECOND_ENTITY] или [FIRST_ENTITY].	0.97666025	0.019026069	0.0043137353	0
41	0	Нажмите на ссылку ниже, чтобы узнать, чем google фото является лучшей альтернативой тому, что предлагает microsoft.	microsoft	Google			Нажмите на ссылку ниже, чтобы узнать, чем [SECOND_ENTITY] фото является лучшей альтернативой тому, что предлагает [FIRST_ENTITY].	0.16923189	0.6435638	0.18720435	1
42	0	Журналист издания techherald стив рэган заявил, что google необходимо работать над улучшением браузера для конкуренции с mozilla firefox и internet explorer, несмотря на впечатляющую бета-версию.	Internet, Explorer	Firefox			Журналист издания techherald стив рэган заявил, что google необходимо работать над улучшением браузера для конкуренции с mozilla [SECOND_ENTITY] и [FIRST_ENTITY], несмотря на впечатляющую бета-версию.	0.9748828	0.02010818	0.005008962	0
43	0	Однако психика животных настолько существенно отличается от сознания у людей, что все неоднократно предпринимавшиеся попытки очеловечить животных (например, высших обезьян), неизменно оканчивались неудачей.	люд	животн			Однако психика [SECOND_ENTITY] настолько существенно отличается от сознания у [FIRST_ENTITY], что все неоднократно предпринимавшиеся попытки очеловечить [SECOND_ENTITY] (например, высших обезьян), неизменно оканчивались неудачей.	0.28012544	0.5591203	0.16075426	1
44	0	Было исправлено множество ошибок предыдущих версий и улучшена стабильность при входе в систему с учетной записью microsoft, что не может не радовать всех истинных поклонников linux.	linux	Microsoft			Было исправлено множество ошибок предыдущих версий и улучшена стабильность при входе в систему с учетной записью [SECOND_ENTITY], что не может не радовать всех истинных поклонников [FIRST_ENTITY].	0.9612583	0.031591028	0.0071507	0
45	0	Знание спорта делать стаки в букмекрських конторах лучше всего если вы знаток футбола или баскетбола или иного спорта и знаете положение команд, можете реально оценить соперников, а не глядя на коэффициенты в конторе.	баскетбол	футбол			Знание спорта делать стаки в букмекрських конторах лучше всего если вы знаток [SECOND_ENTITY] или [FIRST_ENTITY] или иного спорта и знаете положение команд, можете реально оценить соперников, а не глядя на коэффициенты в конторе.	0.98020005	0.015426065	0.004373941	0
46	0	Однако, худшими из лицемеров являются люди, которые, похоже, увлечены распространением слухов о других людях и собаках.	собак	люд			Однако, худшими из лицемеров являются [SECOND_ENTITY], которые, похоже, увлечены распространением слухов о других [SECOND_ENTITY] и [FIRST_ENTITY].	0.97148794	0.02294721	0.0055648396	0
47	1	Котлеты из говядины в духовке запекать с помощью духового шкафа гораздо полезнее, чем жарить – это знает каждая хозяюшка.	запека	жар		полезн	Котлеты из говядины в духовке [FIRST_ENTITY] с помощью духового шкафа гораздо полезнее, чем [SECOND_ENTITY] – это знает каждая хозяюшка.	0.16897704	0.643762	0.18726097	1
48	0	Да, говорил он хэйру, этот навык восприятия знаков должен как-то быть связан с одомашниванием, но был ли его адаптационный смысл — что животные, которые оказывались социально умнее, отбирались людьми — единственным возможным объяснением?	люд	животн			Да, говорил он хэйру, этот навык восприятия знаков должен как-то быть связан с одомашниванием, но был ли его адаптационный смысл — что [SECOND_ENTITY], которые оказывались социально умнее, отбирались [FIRST_ENTITY] — единственным возможным объяснением?	0.9807808	0.014640638	0.0045786873	0
49	0	Тест-драйв audi q8, bmw x6, porsche cayenne coupe — драйв сравнить порш кайен и фольксваген туарег кайен против туарега немного истории описание моделей интерьер резюме схватка porsche cayenne и vw touareg с bmw x5 4, 4i, кто круче?	BMW	Audi			Тест-драйв [SECOND_ENTITY] q8, [FIRST_ENTITY] x6, porsche cayenne coupe — драйв сравнить порш кайен и фольксваген туарег кайен против туарега немного истории описание моделей интерьер резюме схватка porsche cayenne и vw touareg с [FIRST_ENTITY] x5 4, 4i, кто круче?	0.98342264	0.012724493	0.0038528978	0
50	0	Комплекс упражнений для мужчин тренироваться лучше всего утром или вечером после водных процедур.	утр	вечер		тренирова	Комплекс упражнений для мужчин тренироваться лучше всего [FIRST_ENTITY] или [SECOND_ENTITY] после водных процедур.	0.97934145	0.016411178	0.0042473273	0
51	1	Данное обновление включает новое приложение cortana, загрузку из облака, подсистему windows для linux v2, улучшения поиска windows, а также делает зарезервированное хранилище необязательн...	windows	linux			Данное обновление включает новое приложение cortana, загрузку из облака, подсистему [FIRST_ENTITY] для [SECOND_ENTITY] v2, улучшения поиска [FIRST_ENTITY], а также делает зарезервированное хранилище необязательн...	0.96212816	0.030876106	0.006995737	0
52	1	Возьми любую тему, которую тебе сложно объяснить родителям: чем сноуборд лучше горных лыж; что хорошего в рэпе; почему youtube — окно в мир.	лыж	сноуборд		сложн	Возьми любую тему, которую тебе сложно объяснить родителям: чем [SECOND_ENTITY] лучше горных [FIRST_ENTITY]; что хорошего в рэпе; почему youtube — окно в мир.	0.17785627	0.6327144	0.18942937	1
53	0	Источник: что лучше: xbox one или ps4?	ps4	xbox, one			Источник: что лучше: [SECOND_ENTITY] или [FIRST_ENTITY]?	0.9842572	0.011738857	0.0040039085	0
54	0	Коммуникативное обучение английскому помогает быстрее достичь вашей цели – подняться с нуля до уровня свободного владения, сдать тесты ielts и toefl, кембриджский экзамен, найти общий язык с иностранными коллегами.	IELTS	TOEFL			Коммуникативное обучение английскому помогает быстрее достичь вашей цели – подняться с нуля до уровня свободного владения, сдать тесты [FIRST_ENTITY] и [SECOND_ENTITY], кембриджский экзамен, найти общий язык с иностранными коллегами.	0.98155135	0.014424485	0.004024141	0
55	0	Volkswagen jetta или toyota corolla: сравнение автомобилей и что лучше тойота камри или фольксваген пассат — сравнение авто и что лучше форд фокус или киа сид — сравнение автомобилей и что лучше?	форд	тойот			Volkswagen jetta или toyota corolla: сравнение автомобилей и что лучше [SECOND_ENTITY] камри или фольксваген пассат — сравнение авто и что лучше [FIRST_ENTITY] фокус или киа сид — сравнение автомобилей и что лучше?	0.9804981	0.015229375	0.0042725406	0
56	0	Павел нерсесьян выступает в лучших залах лондона, парижа, нью-йорка, будапешта, лейпцига, вены, токио, мадрида и других городов зарубежья и россии.	лондон	париж			Павел нерсесьян выступает в лучших залах [FIRST_ENTITY], [SECOND_ENTITY], нью-йорка, будапешта, лейпцига, вены, токио, мадрида и других городов зарубежья и россии.	0.98198754	0.0142412605	0.0037711787	0
57	2	Но если собакам давали большое количество растительного масла, то оно неизбежно должно было привести к инсулинорезистентности – оно и людей к ней приводит, мы уже писали об этом, а собаки должны быть к нему еще хуже подготовлены.	собак	люд			Но если [FIRST_ENTITY] давали большое количество растительного масла, то оно неизбежно должно было привести к инсулинорезистентности – оно и [SECOND_ENTITY] к ней приводит, мы уже писали об этом, а [FIRST_ENTITY] должны быть к нему еще хуже подготовлены.	0.9296095	0.056919854	0.013470667	0
58	0	Cockos reaper 6 лучшая daw для начинающих с настраиваемым интерфейсом цена: $ 60 | совместимость: пк / mac / linux (экспериментальная) | системные требования пк: 32-разрядная версия: windows xp / vista / 7/8/10, 12 мб свободного места;	windows	linux			Cockos reaper 6 лучшая daw для начинающих с настраиваемым интерфейсом цена: $ 60 | совместимость: пк / mac / [SECOND_ENTITY] (экспериментальная) | системные требования пк: 32-разрядная версия: [FIRST_ENTITY] xp / vista / 7/8/10, 12 мб свободного места;	0.97066915	0.024016388	0.0053145103	0
59	0	Многие женщины при выборе средства гигиены во время критических дней сталкиваются с вопросом «что лучше — прокладки или тампоны?»	тампон	прокладк			Многие женщины при выборе средства гигиены во время критических дней сталкиваются с вопросом «что лучше — [SECOND_ENTITY] или [FIRST_ENTITY]?»	0.9829858	0.013074256	0.0039399965	0
60	0	Viasat sport – смотрите в прямом эфире с профессиональным комментарием эксклюзивные трансляции лучшего в мире баскетбола nba, бейсбола, бокса, хоккея, автогонок, американского футбола и других видов спорта.	баскетбол	футбол			Viasat sport – смотрите в прямом эфире с профессиональным комментарием эксклюзивные трансляции лучшего в мире [FIRST_ENTITY] nba, бейсбола, бокса, хоккея, автогонок, американского [SECOND_ENTITY] и других видов спорта.	0.97997564	0.016008116	0.004016277	0
61	1	Во время критических дней лучше также использовать прокладки, а не тампоны.	тампон	прокладк			Во время критических дней лучше также использовать [SECOND_ENTITY], а не [FIRST_ENTITY].	0.16931637	0.64300853	0.18767516	1
62	1	На 20 штук потребуется: 150-200 грамм сыра 2 столовые ложки майонеза 1 зубчик чеснока маленькая баночка корнишонов 1 длинный ржаной или...читать дальше очень простые котлеты в духовке запекать гораздо полезнее, чем жарить – в этом нет сомнений.	запека	жар		полезн	На 20 штук потребуется: 150-200 грамм сыра 2 столовые ложки майонеза 1 зубчик чеснока маленькая баночка корнишонов 1 длинный ржаной или...читать дальше очень простые котлеты в духовке [FIRST_ENTITY] гораздо полезнее, чем [SECOND_ENTITY] – в этом нет сомнений.	0.22272226	0.6039318	0.17334597	1
63	0	1 чашка свежей дыни; напиток без кофеина, например, травяной чай.	коф	ча		кофеин	1 [SECOND_ENTITY] свежей дыни; напиток без [FIRST_ENTITY], например, травяной [SECOND_ENTITY].	0.8278259	0.13863707	0.03353707	0
64	0	Спонж для создания макияжа кисть – лучший инструмент для нанесения тона стандартная схема распространенные ошибки при создании макияжа крем – это основа любого макияжа, который делает тон кожи ровным и скрывает все недостатки.	кист	спонж			[SECOND_ENTITY] для создания макияжа [FIRST_ENTITY] – лучший инструмент для нанесения тона стандартная схема распространенные ошибки при создании макияжа крем – это основа любого макияжа, который делает тон кожи ровным и скрывает все недостатки.	0.96227837	0.029392444	0.0083291195	0
65	1	Игра выглядит очень красиво однако не все знают что именно версия игры на ps4 лучше чем на других консолях и даже лучше чем на pc и xbox one.	ps4	xbox, one			Игра выглядит очень красиво однако не все знают что именно версия игры на [FIRST_ENTITY] лучше чем на других консолях и даже лучше чем на pc и [SECOND_ENTITY].	0.17010833	0.64343524	0.18645646	1
66	0	Его работы продаются в лучших бутиках парижа, нью–йорка, лондона и других городов мира.	лондон	париж			Его работы продаются в лучших бутиках [SECOND_ENTITY], нью–йорка, [FIRST_ENTITY] и других городов мира.	0.9736738	0.0212589	0.0050673475	0
67	0	Авиакомпания thai airways international летает только на современнейших моделях самолетов — airbus и boeing.	Boeing	Airbus	самолет		Авиакомпания thai airways international летает только на современнейших моделях самолетов — [SECOND_ENTITY] и [FIRST_ENTITY].	0.9756141	0.019741617	0.004644256	0
68	0	Она помогает лучше узнать людей, рожденных в год этого животного.	люд	животн			Она помогает лучше узнать [FIRST_ENTITY], рожденных в год этого [SECOND_ENTITY].	0.97931194	0.01616099	0.004527081	0
69	0	Почему вы такие озлобленные, будьте добрее, найдутся люди, которые будут и кормить собак и ухаживать за ними.	собак	люд			Почему вы такие озлобленные, будьте добрее, найдутся [SECOND_ENTITY], которые будут и кормить [FIRST_ENTITY] и ухаживать за ними.	0.9714305	0.022773167	0.005796462	0
70	0	С двухъядерным процессором с четырехъядерным процессором , увеличение основных процессоров значительно повысить производительность мобильного телефона и так, чтотелефон имеет лучший пользовательский опыт и скорость обработки данных.	двухъядерн	четырехъядерн	процессор		С [FIRST_ENTITY] процессором с [SECOND_ENTITY] процессором , увеличение основных процессоров значительно повысить производительность мобильного телефона и так, чтотелефон имеет лучший пользовательский опыт и скорость обработки данных.	0.9578705	0.034839034	0.0072904998	0
71	0	Если собака возбуждена, напугана или в доме имеются посторонние люди, от процедуры лучше отказаться.	собак	люд			Если [FIRST_ENTITY] возбуждена, напугана или в доме имеются посторонние [SECOND_ENTITY], от процедуры лучше отказаться.	0.9633791	0.029682625	0.006938297	0
72	0	Покупать кроссовки лучше тоже в америке — nike, new balance или adidas — обойдутся сильно дешевле, если доставить их из сша с «бандеролькой».	Adidas	Nike	кроссовк		Покупать кроссовки лучше тоже в америке — [SECOND_ENTITY], new balance или [FIRST_ENTITY] — обойдутся сильно дешевле, если доставить их из сша с «бандеролькой».	0.9799951	0.015739014	0.004265845	0
73	0	Но вы можете не осознавать, что такие виды спорта, как скейтбординг и езда на велосипеде, также нуждаются в специальной обуви.спросите у своего тренера или врача, какая обувь лучше всего подходит для вашего вида спорта.	скейтборд	велосипед			Но вы можете не осознавать, что такие виды спорта, как [FIRST_ENTITY] и езда на [SECOND_ENTITY], также нуждаются в специальной обуви.спросите у своего тренера или врача, какая обувь лучше всего подходит для вашего вида спорта.	0.97449696	0.020379351	0.0051237373	0
74	0	На осень 2017 года уже продано более 1500 единиц boeing 777, но конкуренция с airbus заставляет непрерывно вносить улучшения и изменения в модификации самолета.	Boeing	Airbus	самолет		На осень 2017 года уже продано более 1500 единиц [FIRST_ENTITY] 777, но конкуренция с [SECOND_ENTITY] заставляет непрерывно вносить улучшения и изменения в модификации самолета.	0.944782	0.045313295	0.009904781	0
75	1	Для более плотного слоя лучше наносить пудру спонжем, а не кистью.	кист	спонж			Для более плотного слоя лучше наносить пудру [SECOND_ENTITY], а не [FIRST_ENTITY].	0.16972965	0.6427663	0.18750408	1
76	0	Помогает похудеть благодаря содержанию кофеина и катехина, пара чашек зеленого чая в день ускоряют метаболизм и помогают быстрее сжигать калории.	коф	ча		кофеин	Помогает похудеть благодаря содержанию [FIRST_ENTITY] и катехина, пара [SECOND_ENTITY] зеленого [SECOND_ENTITY] в день ускоряют метаболизм и помогают быстрее сжигать калории.	0.9675763	0.026078664	0.00634503	0
