	object_0	object_1	answer	labels	text	preds	prob: Neutral	prob: objekt1	prob: objekt2
10	Windows XP	Windows 8	Windows XP / Windows Vista SP 2 / Windows 7 or Windows 8 Processor: Intel Core 2 Duo 2.8GHz CPU equivalent or better Memory: 2GB RAM or more Video: GeForce 8800 or ATI Radeon HD 2900GT or better, 512MB+ video ram	0	[FIRST_ENTITY] / Windows Vista SP 2 / Windows 7 or [SECOND_ENTITY] Processor: Intel Core 2 Duo 2.8GHz CPU equivalent or better Memory: 2GB RAM or more Video: GeForce 8800 or ATI Radeon HD 2900GT or better, 512MB+ video ram	0	0.9986141	0.00053620414	0.0008497379
11	CUDA	OpenCL	kind of CUDA or OpenCL application will run much slower in Linux because	0	kind of [FIRST_ENTITY] or [SECOND_ENTITY] application will run much slower in Linux because	0	0.99860114	0.00054381666	0.000855095
12	mobile	wallet	"Through the mobile wallet, QSRs can start to gain better control over the customer experience."""	0	"Through the [FIRST_ENTITY] [SECOND_ENTITY], QSRs can start to gain better control over the customer experience."""	0	0.9985575	0.0005703231	0.0008721437
13	Hewlett-Packard	Dell	Citing Hewlett-Packard Co's (HP) earnings report, in which the US company reported a 4 percent drop in sales of both notebooks and desktops last quarter, and also Dell Inc's recent buyout plan, Liao said the traditional PC products were no longer in demand and would gradually lose ground to mobile devices, which can perform better in terms of communication, portability and media experience.	0	Citing [FIRST_ENTITY] Co's (HP) earnings report, in which the US company reported a 4 percent drop in sales of both notebooks and desktops last quarter, and also [SECOND_ENTITY] Inc's recent buyout plan, Liao said the traditional PC products were no longer in demand and would gradually lose ground to mobile devices, which can perform better in terms of communication, portability and media experience.	0	0.98634326	0.0074965935	0.0061600907
14	BMW	Ford	Superior Industries' aluminum road wheels are sold to OEMs including Audi, BMW, Chrysler LLC, General Motors Company ( GM - Analyst Report ), Fiat, Ford Motor Co. ( F - Analyst Report ), Jaguar, Land Rover, Mazda, Mercedes Benz, Mitsubishi, Nissan Motor Co. Ltd ( NSANY - Snapshot Report ), Skoda, Subaru, Suzuki, Toyota Motor Corp. ( TM - Analyst Report ), Volkswagen and Volvo AB ( VOLVY ) for their automobiles and light trucks.	0	Superior Industries' aluminum road wheels are sold to OEMs including Audi, [FIRST_ENTITY], Chrysler LLC, General Motors Company ( GM - Analyst Report ), Fiat, [SECOND_ENTITY] Motor Co. ( F - Analyst Report ), Jaguar, Land Rover, Mazda, Mercedes Benz, Mitsubishi, Nissan Motor Co. Ltd ( NSANY - Snapshot Report ), Skoda, Subaru, Suzuki, Toyota Motor Corp. ( TM - Analyst Report ), Volkswagen and Volvo AB ( VOLVY ) for their automobiles and light trucks.	0	0.99834573	0.0006898525	0.0009644748
15	amazon	itunes	That alone is better than buying the full digital download on amazon or itunes.	0	That alone is better than buying the full digital download on [FIRST_ENTITY] or [SECOND_ENTITY].	0	0.99859256	0.0005488248	0.00085858867
16	harvard	mit	- harvard - mit - Kellogg - UVA	0	- [FIRST_ENTITY] - [SECOND_ENTITY] - Kellogg - UVA	0	0.9986035	0.0005424083	0.0008541602
17	Windows 8	Windows 7	Forget pesky Windows 8, you still get solid old Windows 7 here.	2	Forget pesky [FIRST_ENTITY], you still get solid old [SECOND_ENTITY] here.	0	0.98895603	0.0060216887	0.005022268
18	Objective-C	Swift	iOS Developer - Objective-C/Cocoa/ Swift Located in San Francisco, we are the most intelligently...	0	iOS Developer - [FIRST_ENTITY]/Cocoa/ [SECOND_ENTITY] Located in San Francisco, we are the most intelligently...	0	0.99859923	0.0005453479	0.0008554494
19	Perl	Java	(all?)) tasks are much easier to accomplish in Perl than Java.	1	(all?)) tasks are much easier to accomplish in [FIRST_ENTITY] than [SECOND_ENTITY].	1	0.021325877	0.9716214	0.007052787
20	fox	cnn	I have no desire to argue that fox is any better or worse than cnn.	0	I have no desire to argue that [FIRST_ENTITY] is any better or worse than [SECOND_ENTITY].	0	0.5296933	0.10693166	0.36337504
21	plastic	cement	Filling the container with pitch, or better yet, plastic roof cement, helps seal out water even when vibration is present.	0	Filling the container with pitch, or better yet, [FIRST_ENTITY] roof [SECOND_ENTITY], helps seal out water even when vibration is present.	0	0.9983815	0.00066924136	0.0009492491
22	Toyota	Chevrolet	Not as attractive as Toyota or Honda and better than Dodge, Kia or Chevrolet.	0	Not as attractive as [FIRST_ENTITY] or Honda and better than Dodge, Kia or [SECOND_ENTITY].	1	0.02857119	0.9632763	0.008152463
23	USB	Ethernet	Connectivity is decent with two USB 3.0 ports, an RJ-45 Ethernet port, and a mini HDMI port.	0	Connectivity is decent with two [FIRST_ENTITY] 3.0 ports, an RJ-45 [SECOND_ENTITY] port, and a mini HDMI port.	0	0.99844486	0.0006333722	0.00092186313
24	USB	Ethernet	Also waiting for a USB to Ethernet Adapter to see if the Connection is better with it.	0	Also waiting for a [FIRST_ENTITY] to [SECOND_ENTITY] Adapter to see if the Connection is better with it.	0	0.9986033	0.0005433997	0.00085333595
25	Google	IBM	Record orders for Intel's PC chips raised hopes of solid second-quarter earnings news from Google, IBM, and Microsoft	0	Record orders for Intel's PC chips raised hopes of solid second-quarter earnings news from [FIRST_ENTITY], [SECOND_ENTITY], and Microsoft	0	0.99861825	0.00053347246	0.0008483584
26	USB	Ethernet	There's a free demo that you can try using any type of network connection, including USB and Firewire, but if you decide to use it you'll get better results from a faster network connection, such as Gigabit Ethernet.	0	There's a free demo that you can try using any type of network connection, including [FIRST_ENTITY] and Firewire, but if you decide to use it you'll get better results from a faster network connection, such as Gigabit [SECOND_ENTITY].	0	0.88060296	0.04531583	0.07408122
27	rubber	cement	I use rubber cement as it's easier to clean up and less likely to cause damage.	0	I use [FIRST_ENTITY] [SECOND_ENTITY] as it's easier to clean up and less likely to cause damage.	0	0.99829406	0.00071716396	0.0009888579
28	football	baseball	football and Basketball are far easier to project than baseball .	1	[FIRST_ENTITY] and Basketball are far easier to project than [SECOND_ENTITY] .	1	0.020829128	0.97222114	0.006949695
29	Nissan	Toyota	"The ""domestic"" imports (foreign manufacturer but domestic production) had superior mileage: 34.4 mpg for Honda, 28.9 for Nissan and 28.1 mpg for Toyota."	0	"The ""domestic"" imports (foreign manufacturer but domestic production) had superior mileage: 34.4 mpg for Honda, 28.9 for [FIRST_ENTITY] and 28.1 mpg for [SECOND_ENTITY]."	0	0.9832803	0.009319294	0.00740049
30	timber	lumber	Use solid timber, a built up lumber beam, a laminated beam or box beam, or multiple poles sized for the weight the lintel will carry.	0	Use solid [FIRST_ENTITY], a built up [SECOND_ENTITY] beam, a laminated beam or box beam, or multiple poles sized for the weight the lintel will carry.	0	0.99857736	0.00055820437	0.0008644641
31	Python	Haskell	In some ways it might make better sense to translate Python to a strict functional language, such as OCaml, but I've chosen Haskell for other reasons (as noted above).	0	In some ways it might make better sense to translate [FIRST_ENTITY] to a strict functional language, such as OCaml, but I've chosen [SECOND_ENTITY] for other reasons (as noted above).	2	0.040211953	0.035303682	0.9244843
32	wii	ps3	The wii U version, however, is just an inferior 360/ps3 port.	0	The [FIRST_ENTITY] U version, however, is just an inferior 360/[SECOND_ENTITY] port.	2	0.019014016	0.010382058	0.970604
33	football	baseball	They have a decent girls basketball team, track team, and marching band but a lousy football team and baseball team.	0	They have a decent girls basketball team, track team, and marching band but a lousy [FIRST_ENTITY] team and [SECOND_ENTITY] team.	0	0.99857664	0.0005599031	0.00086334377
34	Google	Apple	However, unlike Google Maps, a new (superior) version is downloadable via the Apple App Store.	0	However, unlike [FIRST_ENTITY] Maps, a new (superior) version is downloadable via the [SECOND_ENTITY] App Store.	2	0.012002175	0.008458742	0.97953904
35	wedding	birthday	We want to make it easier for you, whether its your wedding, birthday Party,Anniversary,Graduation, Baby Shower, or just a special get togethe	0	We want to make it easier for you, whether its your [FIRST_ENTITY], [SECOND_ENTITY] Party,Anniversary,Graduation, Baby Shower, or just a special get togethe	0	0.9986217	0.00053084746	0.0008474662
36	Ruby	Perl	Methinks it would be better to write integrated Ruby support (or, shudder, Perl..) ...	0	Methinks it would be better to write integrated [FIRST_ENTITY] support (or, shudder, [SECOND_ENTITY]..) ...	0	0.9964939	0.0017109875	0.0017951716
37	california	missouri	November 30, 2001, california, missouri.	0	November 30, 2001, [FIRST_ENTITY], [SECOND_ENTITY].	0	0.9986027	0.00054285495	0.00085451547
38	rubber	cement	(rubber cement tends to be easier to work with because it comes right off when you need it to.)	0	([FIRST_ENTITY] [SECOND_ENTITY] tends to be easier to work with because it comes right off when you need it to.)	0	0.9914792	0.004562814	0.0039579286
39	bread	potato	There are a few recipes - cucumber-lime cooler, carrot-raisin salad, spring vegetable ragout, bread salad, red bean stew and potato smash with kale (that's all of them).	0	There are a few recipes - cucumber-lime cooler, carrot-raisin salad, spring vegetable ragout, [FIRST_ENTITY] salad, red bean stew and [SECOND_ENTITY] smash with kale (that's all of them).	0	0.9984249	0.0006447932	0.00093041547
40	Hewlett-Packard	Intel	Hewlett-Packard ( HPQ ) , Intel ( INTC ) and Dell ( DELL ) are examples.	0	[FIRST_ENTITY] ( HPQ ) , [SECOND_ENTITY] ( INTC ) and Dell ( DELL ) are examples.	0	0.99859995	0.0005447682	0.0008553162
41	Windows 8	Windows 7	Sure, Windows 8 maybe slightly faster than Windows 7 but is faster than Windows XP?	1	Sure, [FIRST_ENTITY] maybe slightly faster than [SECOND_ENTITY] but is faster than Windows XP?	1	0.021346325	0.97163534	0.0070183375
42	virginia	oregon	There are still some backs who could move into first-round contention -- Justin Fargas (Southern California), Lee Suggs (virginia Tech) and Onterrio Smith (oregon) -- but Johnson certainly helped himself with a superior workout.	0	There are still some backs who could move into first-round contention -- Justin Fargas (Southern California), Lee Suggs ([FIRST_ENTITY] Tech) and Onterrio Smith ([SECOND_ENTITY]) -- but Johnson certainly helped himself with a superior workout.	0	0.9909779	0.0048476877	0.0041743354
43	MySQL	Oracle	MySQL Training from Oracle University	0	[FIRST_ENTITY] Training from [SECOND_ENTITY] University	0	0.997292	0.0012735521	0.0014344776
44	Ethernet	USB	A DC-in port, Gigabit Ethernet jack and two USB 3.0 jacks give it better connectivity than a tablet.	0	A DC-in port, Gigabit [FIRST_ENTITY] jack and two [SECOND_ENTITY] 3.0 jacks give it better connectivity than a tablet.	0	0.99821126	0.00076288724	0.0010258527
45	Java	Python	You can find Java programmers and software engineers a dime dozen, but for Python it will be harder.	1	You can find [FIRST_ENTITY] programmers and software engineers a dime dozen, but for [SECOND_ENTITY] it will be harder.	1	0.083463706	0.9015007	0.015035589
46	Amazon	Apple	That's Google ( GOOG ) with its superior search for what you want, that's Amazon ( AMZN ) with the cheapest prices, and that's Apple ( AAPL ) with iTunes.	0	That's Google ( GOOG ) with its superior search for what you want, that's [FIRST_ENTITY] ( AMZN ) with the cheapest prices, and that's [SECOND_ENTITY] ( AAPL ) with iTunes.	0	0.9949064	0.0025988247	0.0024948264
47	Google	Microsoft	Surely, I can do no worse suggesting lame ideas for beating Google than Microsoft already has.	0	Surely, I can do no worse suggesting lame ideas for beating [FIRST_ENTITY] than [SECOND_ENTITY] already has.	0	0.94363284	0.039652012	0.016715145
48	Apple	Dell	If Apple has better growth/profit than Dell/Microsoft (D/M$), then 4.5% means good news - there's still 95.5% of the market that can potentially be consumed.	1	If [FIRST_ENTITY] has better growth/profit than [SECOND_ENTITY]/Microsoft (D/M$), then 4.5% means good news - there's still 95.5% of the market that can potentially be consumed.	1	0.02178594	0.97113264	0.00708142
49	cornell	harvard	TORONTO OSWEGO BOWLING GREEN BOWLING GREEN Vermont Rensselaer Rochester Tech cornell COLGATE Yale Brown St. Lawrence Lake Superior Rochester Tech Army Princeton harvard DARTMOUTH ST.	0	TORONTO OSWEGO BOWLING GREEN BOWLING GREEN Vermont Rensselaer Rochester Tech [FIRST_ENTITY] COLGATE Yale Brown St. Lawrence Lake Superior Rochester Tech Army Princeton [SECOND_ENTITY] DARTMOUTH ST.	0	0.9981818	0.0007797254	0.0010384107
50	Microsoft	Amazon	Root canals aside, Microsoft is still doing better by it's hosted service customers than Amazon, whose multiple EC2 web service outages last year have been met with no public reconciliation.	1	Root canals aside, [FIRST_ENTITY] is still doing better by it's hosted service customers than [SECOND_ENTITY], whose multiple EC2 web service outages last year have been met with no public reconciliation.	1	0.019063117	0.97423303	0.0067039677
51	holiday	wedding	It would have been better for a work holiday party or maybe family wedding.	0	It would have been better for a work [FIRST_ENTITY] party or maybe family [SECOND_ENTITY].	0	0.99574125	0.0021333522	0.0021254858
52	Asus	Gigabyte	Intel Z97 Motherboard Roundup with Asus, Biostar, Gigabyte and MSI	0	Intel Z97 Motherboard Roundup with [FIRST_ENTITY], Biostar, [SECOND_ENTITY] and MSI	0	0.9985876	0.00055209413	0.0008602794
53	Perl	AWK	I could imagine, e.g., Perl and AWK might be different if you use their built in hhash tables and your data hashes a lot better in one than in the other, but if all your loops and such are explicit, how could the performance be different by more than a constant factor?	0	I could imagine, e.g., [FIRST_ENTITY] and [SECOND_ENTITY] might be different if you use their built in hhash tables and your data hashes a lot better in one than in the other, but if all your loops and such are explicit, how could the performance be different by more than a constant factor?	0	0.9985946	0.00054904266	0.0008564
54	Ruby	JavaScript	gmail, built on a solid cutting edge web 2.0 framework such as Java or Ruby on Rails, JavaScript, nice clean interface, etc. and the best I found are:	0	gmail, built on a solid cutting edge web 2.0 framework such as Java or [FIRST_ENTITY] on Rails, [SECOND_ENTITY], nice clean interface, etc. and the best I found are:	0	0.9985273	0.00058811024	0.00088457094
55	Ruby	Java	Ruby, Program Development in Java, The Interpretation	0	[FIRST_ENTITY], Program Development in [SECOND_ENTITY], The Interpretation	0	0.99848455	0.0006116966	0.0009037467
56	Microsoft	Amazon	Microsoft Azure performed better than Amazon Web Services in a series of write/read/delete tests conducted by Nasuni, according to this CIO article .	1	[FIRST_ENTITY] Azure performed better than [SECOND_ENTITY] Web Services in a series of write/read/delete tests conducted by Nasuni, according to this CIO article .	1	0.020406537	0.97273546	0.0068580634
57	Motorola	Samsung	Unlike Motorola and Samsung.	0	Unlike [FIRST_ENTITY] and [SECOND_ENTITY].	0	0.9986142	0.0005357531	0.0008501258
58	Haskell	Java	"tl;dr To me, Haskell is better sold as ""that one language that allows you to make the same that in Java, only with 5 times less code and 5 times more trust in your code"" than ""that one language that's good for teaching purposes, like Pascal or good ol' Caml""."	1	"tl;dr To me, [FIRST_ENTITY] is better sold as ""that one language that allows you to make the same that in [SECOND_ENTITY], only with 5 times less code and 5 times more trust in your code"" than ""that one language that's good for teaching purposes, like Pascal or good ol' Caml""."	1	0.037854392	0.9525724	0.009573235
59	pizza	pasta	A solid pizza/pasta/chicken red now much easier to access under screwcap.	0	A solid [FIRST_ENTITY]/[SECOND_ENTITY]/chicken red now much easier to access under screwcap.	0	0.99860495	0.0005405629	0.00085449417
60	USB	Bluetooth	I wonder if going through the USB port would be better then Bluetooth overall?	0	I wonder if going through the [FIRST_ENTITY] port would be better then [SECOND_ENTITY] overall?	1	0.027307665	0.9647077	0.007984652
61	kennedy	nixon	Second, how can someone seriously argue that kennedy is worse than nixon or Hoover or Harding?	2	Second, how can someone seriously argue that [FIRST_ENTITY] is worse than [SECOND_ENTITY] or Hoover or Harding?	2	0.042013913	0.019088132	0.9388979
62	Ruby	JavaScript	Ruby is a beautiful language, much easier to learn (syntactically) than JavaScript.	1	[FIRST_ENTITY] is a beautiful language, much easier to learn (syntactically) than [SECOND_ENTITY].	1	0.021517513	0.9714054	0.007077109
63	amazon	youtube	With Netflix as the cornerstone, amazon content as a supplement and youtube supposedly on the way, the $99 Roku box keeps looking better and better.	0	With Netflix as the cornerstone, [FIRST_ENTITY] content as a supplement and [SECOND_ENTITY] supposedly on the way, the $99 Roku box keeps looking better and better.	0	0.99839944	0.0006585139	0.00094205944
64	youtube	itunes	I can't find a decent instrumental flute version on youtube, but I did buy it for 99c on itunes.	0	I can't find a decent instrumental flute version on [FIRST_ENTITY], but I did buy it for 99c on [SECOND_ENTITY].	0	0.96887	0.018421154	0.012708868
65	youtube	facebook	youtube is really solid though, but how about facebook?	0	[FIRST_ENTITY] is really solid though, but how about [SECOND_ENTITY]?	0	0.9503213	0.040679045	0.008999649
66	michigan	pennsylvania	But Minnesota would be harder for a Republican to win than Wisconsin, it doesn't border michigan, and it's a little farther removed from Ohio and pennsylvania.	0	But Minnesota would be harder for a Republican to win than Wisconsin, it doesn't border [FIRST_ENTITY], and it's a little farther removed from Ohio and [SECOND_ENTITY].	0	0.9851574	0.008226718	0.006615938
67	Objective-C	Java	To be fair, iOS is much easier to develop for; fewer device configurations and tighter conventions (as well as the use of Objective-C over Java) allow developers to focus on building their app instead of fixing bugs to make it work on multiple devices.	0	To be fair, iOS is much easier to develop for; fewer device configurations and tighter conventions (as well as the use of [FIRST_ENTITY] over [SECOND_ENTITY]) allow developers to focus on building their app instead of fixing bugs to make it work on multiple devices.	1	0.025460301	0.96688956	0.0076501695
68	Groovy	Java	With Groovy you can accomplish many task faster than in Java ( see how easy is to work with List, Maps ) or how fast is to create POGOs.	1	With [FIRST_ENTITY] you can accomplish many task faster than in [SECOND_ENTITY] ( see how easy is to work with List, Maps ) or how fast is to create POGOs.	1	0.020670755	0.9724025	0.006926745
69	bread	pasta	I can't eat hamburgers, bread, pasta, etc, anything solid.	0	I can't eat hamburgers, [FIRST_ENTITY], [SECOND_ENTITY], etc, anything solid.	0	0.9986029	0.00054314255	0.00085386966
70	kennedy	reagan	As for Tricky Dicky, I think he was no worse when it came to naughty behaviour than kennedy, perhaps Johnston and certainly reagan.	0	As for Tricky Dicky, I think he was no worse when it came to naughty behaviour than [FIRST_ENTITY], perhaps Johnston and certainly [SECOND_ENTITY].	0	0.993512	0.003400733	0.003087297
71	Motorola	Samsung	, Motorola , PHILIPS , Samsung , TI , NEC , SGS , TRW	0	, [FIRST_ENTITY] , PHILIPS , [SECOND_ENTITY] , TI , NEC , SGS , TRW	0	0.99862564	0.0005270556	0.0008473281
72	Python	PHP	I'll wager that this will prove remarkably faster than having Python or PHP stream the data directly (it seems like it is faster than my browser).	0	I'll wager that this will prove remarkably faster than having [FIRST_ENTITY] or [SECOND_ENTITY] stream the data directly (it seems like it is faster than my browser).	0	0.9986241	0.0005291191	0.000846744
73	steel	timber	Typical uses: Block and brickwork, concrete, fibre cement, G.R.C. panels, primed galvanised steel, primed timber, solid plaster, wallboards.	0	Typical uses: Block and brickwork, concrete, fibre cement, G.R.C. panels, primed galvanised [FIRST_ENTITY], primed [SECOND_ENTITY], solid plaster, wallboards.	0	0.9985946	0.0005479847	0.0008574767
74	AWK	Sed	You can probably talk it into being multi line, but it would be easier to start the job with AWK or perl rather than trying to do it in Sed.	1	You can probably talk it into being multi line, but it would be easier to start the job with [FIRST_ENTITY] or perl rather than trying to do it in [SECOND_ENTITY].	1	0.028572362	0.9632541	0.008173569
75	carolina	missouri	Has never been seeded worse than a No. 3 (1986 North carolina and 1990 missouri earned those seedings).	0	Has never been seeded worse than a No. 3 (1986 North [FIRST_ENTITY] and 1990 [SECOND_ENTITY] earned those seedings).	0	0.9967867	0.0015419971	0.0016712444
76	Sed	AWK	The 'every Unix system has Perl' argument applies even more so to Sed and AWK, and these two are easier to get hold off if you need (shudder) to work on Windoze.	0	The 'every Unix system has Perl' argument applies even more so to [FIRST_ENTITY] and [SECOND_ENTITY], and these two are easier to get hold off if you need (shudder) to work on Windoze.	0	0.9986085	0.0005396954	0.00085177453
77	PHP	Java	This is something PHP specific and does not apply to other languages' so don't go modifying your C or Java code thinking it'll suddenly become faster' it won't.	0	This is something [FIRST_ENTITY] specific and does not apply to other languages' so don't go modifying your C or [SECOND_ENTITY] code thinking it'll suddenly become faster' it won't.	0	0.98650926	0.0074339993	0.006056741
78	MySQL	PostgreSQL	Just because MySQL or PostgreSQL are easier to install (not really) and you can 'forget' about them doesn't mean thats a good thing.	0	Just because [FIRST_ENTITY] or [SECOND_ENTITY] are easier to install (not really) and you can 'forget' about them doesn't mean thats a good thing.	0	0.9984401	0.00063569046	0.0009242117
79	ipod	iphone	ipod Touch faster than latest iphone	1	[FIRST_ENTITY] Touch faster than latest [SECOND_ENTITY]	1	0.019295586	0.9739499	0.006754568
80	Perl	Python	others be better off if you stuck with Perl, or migrated to Python or Ruby?	0	others be better off if you stuck with [FIRST_ENTITY], or migrated to [SECOND_ENTITY] or Ruby?	0	0.99267817	0.0038816854	0.0034401638
81	psp	ps2	Even better news when one considers how well the psp and ps2 did.	0	Even better news when one considers how well the [FIRST_ENTITY] and [SECOND_ENTITY] did.	0	0.99860185	0.0005443997	0.0008538012
82	PHP	Python	There is nothing particularly wrong about PHP, but it is much uglier than Python.	2	There is nothing particularly wrong about [FIRST_ENTITY], but it is much uglier than [SECOND_ENTITY].	2	0.011911025	0.009325145	0.9787638
83	harvard	princeton	How can we be better than harvard or princeton-or Amherst or Williams, for that matter?	0	How can we be better than [FIRST_ENTITY] or [SECOND_ENTITY]-or Amherst or Williams, for that matter?	0	0.9986129	0.0005362971	0.000850748
84	AMD	Samsung	"AMD Phenom II X2 955 Processor 3.2 GB 700W PSU (Cooler Master) 8 GB DDR2 RAM 24"" Samsung Monitor 1920 x 1200 Windows 7 64bit"	0	"[FIRST_ENTITY] Phenom II X2 955 Processor 3.2 GB 700W PSU (Cooler Master) 8 GB DDR2 RAM 24"" [SECOND_ENTITY] Monitor 1920 x 1200 Windows 7 64bit"	0	0.9984629	0.00062320754	0.00091392227
85	steak	sandwich	There is nothing better than a grilled venison steak sandwich out ice fishing!	0	There is nothing better than a grilled venison [FIRST_ENTITY] [SECOND_ENTITY] out ice fishing!	0	0.99858654	0.00055181456	0.0008615934
86	USB	Bluetooth	It would be better to have an Micro B USB plug on the Bluetooth speaker to charge (connect).	0	It would be better to have an Micro B [FIRST_ENTITY] plug on the [SECOND_ENTITY] speaker to charge (connect).	0	0.998393	0.00066215586	0.0009447696
87	Windows XP	Windows Vista	3663)   Speed PC 3X Faster Free 4.80 SpeedItUp Free will speed up any computer system running Windows XP or Microsoft Windows Vista.	0	3663)   Speed PC 3X Faster Free 4.80 SpeedItUp Free will speed up any computer system running [FIRST_ENTITY] or Microsoft [SECOND_ENTITY].	0	0.998588	0.00055245304	0.00085942325
88	truck	suv	Its a bouncy, poorly riding, poorly handling live axled truck, while the ML has an independent suspension, smooth and solid modern suv.	2	Its a bouncy, poorly riding, poorly handling live axled [FIRST_ENTITY], while the ML has an independent suspension, smooth and solid modern [SECOND_ENTITY].	0	0.96509427	0.0216124	0.01329334
89	Dell	IBM	This result surpasses all single-JVM submission from HP and Dell, and is faster than all 8-core or less single-JVM submissions from IBM.	1	This result surpasses all single-JVM submission from HP and [FIRST_ENTITY], and is faster than all 8-core or less single-JVM submissions from [SECOND_ENTITY].	1	0.024572078	0.96795	0.007477819
90	Chevrolet	Ford	Utility The Chevrolet Traverse offers greater seating capacity than the Ford Explorer, making it a better choice for those who find themselves chauffeuring others around.	1	Utility The [FIRST_ENTITY] Traverse offers greater seating capacity than the [SECOND_ENTITY] Explorer, making it a better choice for those who find themselves chauffeuring others around.	1	0.020600993	0.97245526	0.006943676
91	Java	PHP	(For example if the challenge you gave them can be done better in Ruby on Rails or Java versus PHP)	0	(For example if the challenge you gave them can be done better in Ruby on Rails or [FIRST_ENTITY] versus [SECOND_ENTITY])	1	0.033369724	0.95768434	0.008945983
92	IBM	Apple	In my experience, IBM and Apple laptops tend to have the best reception, but individual laptops may do better or worse in various locations.	0	In my experience, [FIRST_ENTITY] and [SECOND_ENTITY] laptops tend to have the best reception, but individual laptops may do better or worse in various locations.	0	0.9983891	0.0006646732	0.00094613014
93	tennis	football	Obviously the prize money clause can be better applied to tennis than football.	1	Obviously the prize money clause can be better applied to [FIRST_ENTITY] than [SECOND_ENTITY].	1	0.037035726	0.9535325	0.009431796
94	OpenCL	CUDA	Enhanced, cross-platform support for OpenCL and CUDA promises to helo you render less often and work faster with third-party effects.	0	Enhanced, cross-platform support for [FIRST_ENTITY] and [SECOND_ENTITY] promises to helo you render less often and work faster with third-party effects.	0	0.9986085	0.0005396735	0.000851861
