tag	text	Object1	Object2	CommonObj	Aspect
WORSE	При этом пища, доведенная до готовности в духовке, считается полезней, чем жарка на варочной панели, так как при запекании продуктов не образуются канцерогены — вредные вещества, вызывающие раковые заболевания.	запека	жар		полезн
NONE	Что лучше беспроводной или проводной интернет?	проводн	беспроводн		интернет
NONE	Дополняет впечатление от технических улучшений и производительность новой версии на консолях playstation 5 и xbox series x — здесь игра работает в 4k-разрешении при 60 кадрах в секунду.	Xbox	PlayStation		
NONE	В москве лучше, чем в мировых столицах: нью-йорке, берлине, париже, лондоне...	лондон	париж		
NONE	Баскетболисты и футболисты могут использовать полуприседания для улучшения позиционирования и вертикального прыжка с места. полуприседания как выполнять встаньте под стойку для приседаний и поместите штангу на верхние трапы.	баскетбол	футбол		
BETTER	Разработчики самолета говорят о том, что будущий лайнер по техническим характеристикам будет лучше продукции конкурентов — boeing и airbus.	Boeing	Airbus	самолет	
NONE	Например, в начале и в конце менструации лучше использовать тампон или прокладку на 2-3 капельки, в разгар – 4-6.	тампон	прокладк		
NONE	Выходит, и термин без надобности. фото: ap спор, который уже больше 10 лет ведут между собой за звание лучшего футболиста планеты месси и криштиану роналду, подходит к концу.	роналду	месси		больш
WORSE	Понятно, что когда есть интернет проводной, не хочется весь дом опутывать проводами дополнительно, легче его раздать способами беспроводными.	проводн	беспроводн		интернет
NONE	Да, в нынешнем состоянии биткоин не слишком удобен для транзакций; с его помощью сложно купить чашку эспрессо без кофеина в ближайшем автомате.	коф	ча		кофеин
NONE	Как сделать это правильно? ... исковая оптимизация ( seo ) или оптимизация для поисковых систем - это методы, направленные на улучшение позиционирования ваших страниц в поисковых системах, таких как google, bing, yahoo и других.	Google	Yahoo		поиск
WORSE	Секция listening в toefl немного сложнее, чем в ielts.	IELTS	TOEFL		
NONE	Однако данные показатели являются относительными, поскольку животные, так же, как и люди, могут вынашивать плод дольше или, наоборот, меньше.	люд	животн		
BETTER	Высокая производительность: скрипты, написанные на php, обычно выполняются или работают быстрее, чем на других языках, таких как asp, ruby, python, java и т. д.	ASP	PHP		
NONE	В круглых и квадратных контейнерах растение лучше всего смотрится, если поместить его в центре.	квадратн	кругл	контейнер	
WORSE	Полезные жареные цукини советы: для достижения наилучших результатов лучше всего запекать их двумя порциями, чтобы крошки не слипались.	запека	жар		полезн
NONE	В отличие от кофе и чая, в какао мало кофеина, но больше полезного теобромина, который тоже оказывает стимулирующее воздействие на организм, но влияет на нас гораздо мягче кофеина.	коф	ча		кофеин
NONE	Viasat sport – смотрите в прямом эфире с профессиональным комментарием эксклюзивные трансляции лучшего в мире баскетбола nba, бейсбола, бокса, хоккея, автогонок, американского футбола и других видов спорта.	баскетбол	футбол		
WORSE	Применение тампонов может вызвать неосторожное занесение заразы, исходя из этого в данный период лучше пользоваться прокладками.	тампон	прокладк		
BETTER	5 причин, почему google pixel лучше iphone 7.	google, pixel	iphone, 7		
NONE	Главное решение этой проблемы — не стоит отказываться от чая совсем, лучше употреблять его с утра, тогда и кофеин пойдёт на пользу.	коф	ча		кофеин
NONE	Чем больше капелек, тем на дольше хватает тампона/прокладки до следующей их замены.	тампон	прокладк		
WORSE	Так как ноги сноубордиста закреплены на одной доске и в одном направлении, ему обычно бывает сложнее объезжать внезапно возникшие на пути препятствия, чего не скажешь о лыжнике, который может двигать ногами в разных направлениях.	лыж	сноуборд		сложн
NONE	Microsoft реализует в wsl доступ к gpu и запуск графических приложений linux компания microsoft объявила о реализации значительных улучшений в подсистеме wsl (windows subsystem for linux), обеспечивающей запуск исполняемых файлов linux в windows....	linux	Microsoft		
NONE	Средства гигиены для девочки что лучше применять в подростковом возрасте – прокладки или тампоны?	тампон	прокладк		
BETTER	Для более плотного слоя лучше наносить пудру спонжем, а не кистью.	кист	спонж		
BETTER	Я бы даже сказала, что этим спонжем удобней наносить тени, так как они почти не пылят при наборе, в отличие, если набирать тени на пушистую кисть (синтетическую).	кист	спонж		
BETTER	Собачья слюна чище человеческой natashafedorova / depositphotos собаки куда умнее, добрее и преданнее людей.	собак	люд		
BETTER	Так что запекать в духовке целые картофелины не только проще, чем жарить на сковороде, но еще и полезнее.	запека	жар		полезн
NONE	Для должной работоспособности лучше использовать что-то менее экзотическое: firefox, internet explorer, opera, safari или chrome.	Internet, Explorer	Firefox		
NONE	Техники также разные — спонжем или кисточкой, структуры тональных средств тоже на любой вкус — жидкие и густые, которые предварительно нужно нагревать феном, чтобы они ровнее ложились, — этот способ применяется для нанесения тона на пористую кожу.	кист	спонж		
BETTER	Программа поддерживает 32- и 64-разрядные операционные системы семейств microsoft windows nt 5 (я устанавливал и в xp и в win 7) и новее (gui-интерфейс), linux и mac os x.	linux	Microsoft		
BETTER	Во время критических дней лучше также использовать прокладки, а не тампоны.	тампон	прокладк		
BETTER	Мне тут заказчик сказал, что якобы для работы с анализом данных r лучше чем python, может кто-то что-то знает по этому поводу?	Python	R		анализ, данны
BETTER	Таким образом, apple iphone 7 оказался в два два раза быстрее samsung galaxy s7 и google pixel, которые являются флагманами на базе операционной системы android.	google, pixel	iphone, 7		
NONE	Авиакомпания летает только на современнейших моделях самолетов — airbus и boeing.	Boeing	Airbus	самолет	
NONE	Когда лучше тренироваться тренировки лучше проводить в определенное время, а именно – утром с 11 до 13, а вечером с 17 до 19.	утр	вечер		тренирова
NONE	По словамъ одного англiйскаго ювелира лучшая и самая драгоцѣнная бирюза составляетъ въ настоящее время собственность извѣстнаго магараджи улепсинга, бывшаго лагорскаго короля, нынѣ постоянно живущаго въ парижѣ и часто прiѣзжающаго и въ лондонъ.	лондон	париж		
BETTER	Доказано, что запекать продукты полезнее, чем жарить.	запека	жар		полезн
NONE	В ежегодном исследовании cushman & wakefield ( european cities monitor , 2010) франкфурт уже более 20 лет занимает третье место как лучшее место для размещения международных корпораций в европе (после лондона и парижа).	лондон	париж		
WORSE	Для разделов данных в linux, которые должны быть доступны в windows лучше использовать fat, а не ntfs, поскольку она поддерживается лучше.	windows	linux		
NONE	Автокредит в автосалоне или отдельно в банке – где лучше взять?	автосалон	банк		автокред
WORSE	Почти как настоящая тем, кто страдает аллергией и поллинозом, лучше предпочесть искусственную елку.	настоя	искусствен	елк	лучш
NONE	«бюджетные авиалинии прибыльны за счет экономии на питании, закупки однотипных самолетов (практически во всех low-cost компаниях это либо boeing-737, либо airbus a320.—ъ) и становятся в мире все популярнее.	Boeing	Airbus	самолет	
BETTER	Котлеты из говядины в духовке запекать с помощью духового шкафа гораздо полезнее, чем жарить – это знает каждая хозяюшка.	запека	жар		полезн
BETTER	Текущий двухъядерный процессор по информации можно ожидать быстрее, чем старый четырехъядерный процессор.	двухъядерн	четырехъядерн	процессор	
NONE	Выводы единого мнения по поводу того, что лучше, тампон или прокладка, не существует как среди врачей, так и женщин.	тампон	прокладк		
BETTER	Прокладки безопаснее, чем тампоны.	тампон	прокладк		
WORSE	Онлайн чат whatsapp книги нон-фикшн -тайная история вещей по их мнению, вагинальные тампоны гораздо опасней, чем прокладки, подгузники, просто вата или туалетная бумага: они входят в тесный контакт с телом, а это создает условия для проникновения ...	тампон	прокладк		
NONE	У студентов программ высшего образования после окончания 1-го года обучения появляется отличная возможность провести 2 или 3 год обучения в филиалах istituto marangoni в лондоне или париже.	лондон	париж		
NONE	Знание спорта делать стаки в букмекрських конторах лучше всего если вы знаток футбола или баскетбола или иного спорта и знаете положение команд, можете реально оценить соперников, а не глядя на коэффициенты в конторе.	баскетбол	футбол		
NONE	Почти везде есть проводной или беспроводной доступ к высокоскоростному и безлимитному интернету, а потому удобнее всего смотреть видео онлайн.	проводн	беспроводн		интернет
NONE	Современные трассы различных уровней сложности предназначены для занятий любимыми видами спорта – горнолыжными лыжами, сноубордом и пр.	лыж	сноуборд		сложн
BETTER	Баскетбол и в латвии намного популярнее футбола.	баскетбол	футбол		
BETTER	Операционные системы windows намного лучше подходят для игр по сравнению с mac или linux из-за того, как они работают, и доступных игр.	mac	Windows		игр
NONE	Audi e-tron, bmw ix3, jaguar i-pace, mercedes-benz eqc и tesla model x: кто круче?	BMW	Audi		
NONE	Чем лучше пользоваться – тампонами или прокладками: преимущества и недостатки различных средств, что лучше, мнение гинекологов другое когда удалять зуб?	тампон	прокладк		
WORSE	А когда драгоценности и обстоятельства жизни драгоценности и обстоятельства жизни по сравнению с безысходно грустными днями в париже, жизнь в лондоне, где я прежде не бывала, принесла облегчение.	лондон	париж		
BETTER	Рекомендуется выпивать не более двух чашек или банок напитков с кофеином в день - лучше перейти на кофе без кофеина.	коф	ча		кофеин
WORSE	Беспроводной интернет всегда работает чуть хуже, чем через проводное соединение из-за непрямого подключения к устройству.	проводн	беспроводн		интернет
NONE	Но не ждите реального улучшения производительности после использования дефрагментаторов реестра, особенно в более поздних версиях windows, таких как windows 10/8/7 / vista.	7	8	Windows	производительн
WORSE	Можно делать это кистью, но куда удобнее использовать поролоновый спонж.	кист	спонж		
BETTER	Квадратные или прямоугольные контейнеры позволят эффективнее использовать пространство в холодильнике или в шкафу, чем круглые.	квадратн	кругл	контейнер	
NONE	Сказать однозначно, что лучше использовать, прокладки или тампоны, девушкам, еще не имевшим опыта интимной близости, невозможно.	тампон	прокладк		
NONE	Кофеин употребление небольшого количества кофеина, например чашки кофе, черного или зеленого чая, может помочь открыть дыхательные пути в легкие.это может помочь человеку легче дышать.	коф	ча		кофеин
BETTER	Сварка mig обычно выполняется быстрее и проще, чем сварка tig, о которой мы скоро поговорим.	mig	tig		сварк
BETTER	Google pixel xl на 20 грамм легче iphone 7 plus.	google, pixel	iphone, 7		
NONE	Неграмотный мужик знает ровно столько же о высшей математике, сколько знают умные люди в лондоне и париже о россии.	лондон	париж		
NONE	Споры о том, какая операционная система windows или linux лучше, не утихают.	windows	linux		
NONE	На втором городском пруду собираются толкиенисты, у каменного бубки упражняются в высшем пилотаже юноши на спортивных велосипедах и скейтбордах, а бывший лидер донецких панков дима жопа собрал вокруг себя любителей хоккея на роликах.	скейтборд	велосипед		
BETTER	Теперь не нужно срубать живое дерево для того, чтобы отпраздновать новый год и рождество – мы предлагаем остановить выбор на искусственной уличной елке, которая выглядит даже лучше настоящей.	настоя	искусствен	елк	лучш
WORSE	Все стандарты wifi — чем они отличаются, какой лучше проводное интернет-соединение постепенно сходит на «нет», все заполонили беспроводные сети.	проводн	беспроводн		интернет
NONE	Вечерний макияж лучше всего делать спонжем или специальной кистью.	кист	спонж		
NONE	Некоторые люди получают облегчение от иглоукалывания, трав и массажа, другие — нет.они могут найти облегчение в домашнем животном.	люд	животн		
WORSE	Не рекомендуется использовать влагалищные тампоны в послеродовом периоде (6–8 недель после родов), а лучше пользоваться гигиеническими прокладками.	тампон	прокладк		
NONE	Тест подключаемого модуля bmw x3: набор мышц bmw превращает свой x3 в подключаемый гибрид, чтобы лучше охотиться на земле audi q5 или volvo xc60.размеры volvo xc60 примерно такой же ширины, как и bmw x3.	BMW	Audi		
NONE	Суть seo в том, чтобы пользователь быстрее, легче находил нужную ему информацию и чтобы эта информация максимально точно соответствовала тому, что он искал в google, яндекс, bing, yahoo и других поисковиках.	Google	Yahoo		поиск
BETTER	Он легче и компактнее велосипеда, на нем куда легче научиться кататься, чем на скейтборде, с ним не придется заботиться о возможности переобуться, как в случае с роликами.	скейтборд	велосипед		
NONE	Версии для платформ xbox 360 и playstation 3 используют усовершенствованный движок игры с более лучшей графикой, разными комментаторами и хорошим озвучиванием.	Xbox	PlayStation		
BETTER	Изображения малого размера и размытые, но на них ясно можно видеть более современный интерфейс, который больше похож на chrome / firefox, чем как это было у internet explorer, и это скорей лучше.	Internet, Explorer	Firefox		
NONE	Айфон 7 или самсунг s7: чем отличаются смартфоны и что лучше айфон 6 и 6s — в чем разница и сходства между девайсами что лучше двухъядерный или четырехъядерный процессор и чем они отличаются?	двухъядерн	четырехъядерн	процессор	
NONE	Что выгодней, кредит в банке или автокредит в автосалоне. after–> у каждого человека в жизни возникают множество различных обстоятельств приятные и не очень.	автосалон	банк		автокред
NONE	А когда доверху наполните тележку, устройте благотворительные акции – вы не обеднеете, а людям приятно (да и бездомные животные будут рады, если лошадки о них позаботятся).	люд	животн		
BETTER	Игры для xbox series x нам могут показать лишь в августе вероятно, в этом году купить xbox series x будет легче, чем sony playstation 5 как мы узнали вчера, игры для playstation 5 нам покажут 11 июня.	Xbox	PlayStation		
BETTER	Вариант запекания этого блюда в духовке делает его гораздо полезнее, чем жарка в большом количестве масла.	запека	жар		полезн
NONE	Годы петуха: 1957, 1969, 1981, 1993, 2005, 2017, 2029 собака: люди, рожденные в год собаки, обладают лучшими чертами человеческой натуры.	собак	люд		
BETTER	Html и css также работают быстрее в вашем браузере, чем javascript, и ваш браузер обычно предоставляет вам множество функций.	javascript	html, css		
NONE	Покупать кроссовки лучше тоже в америке — nike, new balance или adidas — обойдутся сильно дешевле, если доставить их из сша с «бандеролькой».	Adidas	Nike	кроссовк	
BETTER	Цитата victoria пишет: кстати, хорошим чаем давление поднять полезнее и скорее, чем кофе, т.к. чай содержит кофеина больше, чем кофе.	коф	ча		кофеин
NONE	Поэтому перед покупкой такого подарка, спросите у родителей, смогут ли они заботиться и содержать животное. icon-ban спортивные мячи (баскетбольный, футбольный и волейбольный) не самый лучший подарок для маленького ребенка.	баскетбол	футбол		
BETTER	Единственное, что нужно уточнять отдельно – это наличие телефонной линии и возможность подключения проводного интернета, т.к. беспроводной, по качеству связи, пока оставляет желать лучшего.	проводн	беспроводн		интернет
BETTER	Электрические духовки распределяют тепло равномерно, что делает их идеальными для выпечки, в то время как газовые духовки нагреваются быстрее, чем их электрические аналоги.	газов	электрическ	духовк	выпечк
NONE	Наносить грим удобнее всего спонжами и кисточками.	кист	спонж		
NONE	Кисть спонж бьюти-блендер руки идеальный мейкап получается в случае совмещения нескольких видов: пальцами наносить тон лучше на небольшой участок лица, предварительно вымыв руки.	кист	спонж		
NONE	Так бы полёт был бы сильней exxon $xom -4, 38% chevron $cvx -2, 16% • пентагон выбирает провайдера на $10 миллиардный контракт на облака 💬 примечателен и как сам список компаний кого пригласили: google, oracle, amazon и microsoft.	microsoft	Google		
NONE	В каких случаях лучше выбирать прокладки: если тебе некомфортно носить/вставлять тампоны;	тампон	прокладк		
NONE	Вместо скрученных проводов, на стену помещается аккуратный контейнер прямоугольной, круглой или квадратной формы.	квадратн	кругл	контейнер	
NONE	Многие женщины при выборе средства гигиены во время критических дней сталкиваются с вопросом «что лучше — прокладки или тампоны?»	тампон	прокладк		
NONE	Больше всех золотых медалей – шесть – завоевала по итогам дня сборная сша, сравнявшаяся в медальном зачете с командой китая по количеству наград высшей пробы (по 18).	сша	кита		больш
NONE	Также в пятерку лучших вошли нью-йорк, париж, лондон и бостон.	лондон	париж		
NONE	Trango — гипервизор, а точнее виртуальный процессор, весящий 20 kb, позволяющий запускать на мобильном устройстве с risc-процессором от arm или mips несколько гостевых ос: ecos, linux, windows ce и другие ос.	windows	linux		
NONE	Командные виды спорта, такие как баскетбол, волейбол или футбол, — все это отличные способы заставить ваше сердце биться быстрее, наряду с такими вещами, как скейтбординг, езда на велосипеде и танцы.	баскетбол	футбол		
NONE	Командные виды спорта, такие как баскетбол, волейбол или футбол, — все это отличные способы заставить ваше сердце биться быстрее, наряду с такими вещами, как скейтбординг, езда на велосипеде и танцы.	скейтборд	велосипед		
NONE	Для лучшего отображения, пожалуйста, измените свой браузер на chrome, firefox, opera или internet explorer.	Internet, Explorer	Firefox		
NONE	Seo ( оптимизация сайтов для поисковой оптимизации ) - это методика улучшения видимости сайта в поисковых системах (google, yahoo, bing и т.	Google	Yahoo		поиск
WORSE	Применяйте не круглые банки и лотки, а квадратные или с прямыми углами сохранять сухие продукты лучше в прямоугольных и квадратных банках/контейнерах, так как они встают между собой аккуратнее и компактнее круглых.	квадратн	кругл	контейнер	
WORSE	Выпечка и жарка на сковороде чтобы все было полезнее, запекание в духовке – всегда отличная идея.	запека	жар		полезн
BETTER	Постарайтесь запекать или варить пищу — такие способы обработки гораздо полезнее, а при должном мастерстве ничем не отличаются по вкусовым качествам от жареных блюд.	запека	жар		полезн
NONE	Mig может применяться к более широкому выбору металлов различной толщины, тогда как сварка tig позволяет получать сварные швы высочайшего качества, особенно когда речь идет о тонких металлах. .	mig	tig		сварк
NONE	Что лучше и безопаснее — прокладки или тампоны?	тампон	прокладк		
BETTER	Я решил принять вызов с этим хрустящим запеченным баклажаном с пармезаном.прежде всего, я хотел создать рецепт запеченного пармезана из баклажанов, потому что запекать проще и полезнее, чем жарить.	запека	жар		полезн
BETTER	Чем керамический нож лучше стального и как выбрать долговечный и надежный чтобы приготовить пищу для переработки, не нужно таять, рубить, избавляться от костей и вен.	стальн	керамическ	нож	
NONE	Часть 2 vuejs - javascript фреймворк, который впитал в себя лучшее из angularjs и react.	angularjs	angular, 2		
NONE	Так, людям, которые не переносят кофеин, лучше отказаться от употребления этого напитка, ведь в результате даже одной выпитой чашки может усиливаться головная боль, учащаться сердцебиение, появляется вспыльчивость и раздражительность.	коф	ча		кофеин
WORSE	Считается, что javascript сложнее изучить, чем связанные с ним технологии, наподобие html и css.	javascript	html, css		
NONE	Не понимаю, что тут все нос воротят, это намного лучше, чем тампоны и прокладки.	тампон	прокладк		
NONE	Не считая того, для того чтоб сайт на нагом html смотрелся достойно и работал правильно, необходимы познания и по иным языкам: непременно по css, и очень лучше по javascript и php.	javascript	html, css		
BETTER	Актер александр невский назвал xbox лучшей консолью актер александр невский рассказал, что среди консолей playstation и xbox он предпочитает устройства от компании microsoft.	Xbox	PlayStation		
NONE	Тем же, кто привык к тщательной проработке всех деталей макияжа, лучше воспользоваться еще и кремами, которые наносят кистью или спонжем.	кист	спонж		
NONE	Ввк пишет: цитата: основа всего - собаке должно быть интересней и веселей с хозяином, чем с другими людьми или собаками.	собак	люд		
BETTER	Для бутылок лучше использовать губку или спонж – кисть оставит некрасивые разводы.	кист	спонж		
BETTER	На жилье в париже москвич накопит почти в два раза быстрее, чем в лондоне, – за 169 лет.	лондон	париж		
NONE	Технологические особенности преимущества и недостатки проводного и беспроводного интернета: какой лучше технологических особенностей между представленными стандартами практически нет, поскольку один является логичным продолжением второго.	проводн	беспроводн		интернет
NONE	На страницах сайта можно выбрать, среди прочего, футбол который является самым популярным , волейбол или баскетбол, а также множество менее раскрученных, но имеющих любителей дисциплин.	баскетбол	футбол		
BETTER	Одним из плюсов является то, что она запекается в духовке, что намного полезнее жареной рыбы.	запека	жар		полезн
NONE	Среди двухъядерных моделей рекомендуются лишь чипы intel atom z25xx: они имеют два ядра, разделенных надвое на программном уровне, за счет чего процессор работает не хуже «четырехъядерников».	двухъядерн	четырехъядерн	процессор	
NONE	Присоединяйтесь к нам и публикуйте вместе с нами лучшие бесплатные прогнозы на спорт: футбол, баскетбол, теннис, хоккей и др.	баскетбол	футбол		
NONE	Помимо классических лыж и на экстремальных отдых нацелена австрия (туры цены не повысили) – сноуборд, фрирайд, слалом, для чего фактически на всех курортах обустроены фан-парки, хаф-пайпы, сложнейшие спуски, горки и трассы.	лыж	сноуборд		сложн
WORSE	Даже на стороне графического процессора snapdragon 625 с его графическим процессором adreno 506 работал хуже, чем adreno 510 на snapdragon 650.	625	650	snapdragon	
BETTER	Для приготовления лучше использовать круглую или овальную посуду, так как в квадратном либо прямоугольном контейнере пища зачастую неравномерно готовится по углам.	квадратн	кругл	контейнер	
BETTER	Кроме того, компьютеры с linux дешевле своих аналогов с windows.	windows	linux		
