labels	answer	Object1	Object2	CommonObj	Aspect	text
0	А потом берем краску на 1-2 тона светлее (или вообще другого цвета) и работаем уже не кисточкой а поролоновой губкой, или спонжиком для макияжа.	кист	спонж			А потом берем краску на 1-2 тона светлее (или вообще другого цвета) и работаем уже не [FIRST_ENTITY] а поролоновой губкой, или [SECOND_ENTITY] для макияжа.
0	Павел нерсесьян выступает в лучших залах лондона, парижа, нью-йорка, будапешта, лейпцига, вены, токио, мадрида и других городов зарубежья и россии.	лондон	париж			Павел нерсесьян выступает в лучших залах [FIRST_ENTITY], [SECOND_ENTITY], нью-йорка, будапешта, лейпцига, вены, токио, мадрида и других городов зарубежья и россии.
0	Спонж или кисть.можно наносить тон на кожу и пальцами, но намного удобнее делать это с помощью специального инструмента.	кист	спонж			[SECOND_ENTITY] или [FIRST_ENTITY].можно наносить тон на кожу и пальцами, но намного удобнее делать это с помощью специального инструмента.
0	Сразу предупреждаю - под катом прокладки и их описание, так что если вам надоело засилье прокладок в рекламах на тв, лучше не отрывайте :))) тампоны использовали еще древние египтяне, изготовляя их из папируса.	тампон	прокладк			Сразу предупреждаю - под катом [SECOND_ENTITY] и их описание, так что если вам надоело засилье прокладок в рекламах на тв, лучше не отрывайте :))) [FIRST_ENTITY] использовали еще древние египтяне, изготовляя их из папируса.
3	При этом пища, доведенная до готовности в духовке, считается полезней, чем жарка на варочной панели, так как при запекании продуктов не образуются канцерогены — вредные вещества, вызывающие раковые заболевания.	запека	жар		полезн	При этом пища, доведенная до готовности в духовке, считается полезней, чем [SECOND_ENTITY] на варочной панели, так как при [FIRST_ENTITY] продуктов не образуются канцерогены — вредные вещества, вызывающие раковые заболевания.
0	Что лучше беспроводной или проводной интернет?	проводн	беспроводн		интернет	Что лучше [SECOND_ENTITY] или [FIRST_ENTITY] интернет?
0	Дополняет впечатление от технических улучшений и производительность новой версии на консолях playstation 5 и xbox series x — здесь игра работает в 4k-разрешении при 60 кадрах в секунду.	Xbox	PlayStation			Дополняет впечатление от технических улучшений и производительность новой версии на консолях [SECOND_ENTITY] 5 и [FIRST_ENTITY] series x — здесь игра работает в 4k-разрешении при 60 кадрах в секунду.
0	В москве лучше, чем в мировых столицах: нью-йорке, берлине, париже, лондоне...	лондон	париж			В москве лучше, чем в мировых столицах: нью-йорке, берлине, [SECOND_ENTITY], [FIRST_ENTITY]...
0	Баскетболисты и футболисты могут использовать полуприседания для улучшения позиционирования и вертикального прыжка с места. полуприседания как выполнять встаньте под стойку для приседаний и поместите штангу на верхние трапы.	баскетбол	футбол			[FIRST_ENTITY] и [SECOND_ENTITY] могут использовать полуприседания для улучшения позиционирования и вертикального прыжка с места. полуприседания как выполнять встаньте под стойку для приседаний и поместите штангу на верхние трапы.
2	Разработчики самолета говорят о том, что будущий лайнер по техническим характеристикам будет лучше продукции конкурентов — boeing и airbus.	Boeing	Airbus	самолет		Разработчики самолета говорят о том, что будущий лайнер по техническим характеристикам будет лучше продукции конкурентов — [FIRST_ENTITY] и [SECOND_ENTITY].
0	Например, в начале и в конце менструации лучше использовать тампон или прокладку на 2-3 капельки, в разгар – 4-6.	тампон	прокладк			Например, в начале и в конце менструации лучше использовать [FIRST_ENTITY] или [SECOND_ENTITY] на 2-3 капельки, в разгар – 4-6.
0	Выходит, и термин без надобности. фото: ap спор, который уже больше 10 лет ведут между собой за звание лучшего футболиста планеты месси и криштиану роналду, подходит к концу.	роналду	месси		больш	Выходит, и термин без надобности. фото: ap спор, который уже больше 10 лет ведут между собой за звание лучшего футболиста планеты [SECOND_ENTITY] и криштиану [FIRST_ENTITY], подходит к концу.
3	Понятно, что когда есть интернет проводной, не хочется весь дом опутывать проводами дополнительно, легче его раздать способами беспроводными.	проводн	беспроводн		интернет	Понятно, что когда есть интернет [FIRST_ENTITY], не хочется весь дом опутывать проводами дополнительно, легче его раздать способами [SECOND_ENTITY].
0	Да, в нынешнем состоянии биткоин не слишком удобен для транзакций; с его помощью сложно купить чашку эспрессо без кофеина в ближайшем автомате.	коф	ча		кофеин	Да, в нынешнем состоянии биткоин не слишком удобен для транзакций; с его помощью сложно купить [SECOND_ENTITY] эспрессо без [FIRST_ENTITY] в ближайшем автомате.
0	Как сделать это правильно? ... исковая оптимизация ( seo ) или оптимизация для поисковых систем - это методы, направленные на улучшение позиционирования ваших страниц в поисковых системах, таких как google, bing, yahoo и других.	Google	Yahoo		поиск	Как сделать это правильно? ... исковая оптимизация ( seo ) или оптимизация для поисковых систем - это методы, направленные на улучшение позиционирования ваших страниц в поисковых системах, таких как [FIRST_ENTITY], bing, [SECOND_ENTITY] и других.
3	Секция listening в toefl немного сложнее, чем в ielts.	IELTS	TOEFL			Секция listening в [SECOND_ENTITY] немного сложнее, чем в [FIRST_ENTITY].
0	Однако данные показатели являются относительными, поскольку животные, так же, как и люди, могут вынашивать плод дольше или, наоборот, меньше.	люд	животн			Однако данные показатели являются относительными, поскольку [SECOND_ENTITY], так же, как и [FIRST_ENTITY], могут вынашивать плод дольше или, наоборот, меньше.
2	Высокая производительность: скрипты, написанные на php, обычно выполняются или работают быстрее, чем на других языках, таких как asp, ruby, python, java и т. д.	ASP	PHP			Высокая производительность: скрипты, написанные на [SECOND_ENTITY], обычно выполняются или работают быстрее, чем на других языках, таких как [FIRST_ENTITY], ruby, python, java и т. д.
0	В круглых и квадратных контейнерах растение лучше всего смотрится, если поместить его в центре.	квадратн	кругл	контейнер		В [SECOND_ENTITY] и [FIRST_ENTITY] контейнерах растение лучше всего смотрится, если поместить его в центре.
3	Полезные жареные цукини советы: для достижения наилучших результатов лучше всего запекать их двумя порциями, чтобы крошки не слипались.	запека	жар		полезн	Полезные [SECOND_ENTITY] цукини советы: для достижения наилучших результатов лучше всего [FIRST_ENTITY] их двумя порциями, чтобы крошки не слипались.
0	В отличие от кофе и чая, в какао мало кофеина, но больше полезного теобромина, который тоже оказывает стимулирующее воздействие на организм, но влияет на нас гораздо мягче кофеина.	коф	ча		кофеин	В отличие от [FIRST_ENTITY] и [SECOND_ENTITY], в какао мало [FIRST_ENTITY], но больше полезного теобромина, который тоже оказывает стимулирующее воздействие на организм, но влияет на нас гораздо мягче [FIRST_ENTITY].
0	Viasat sport – смотрите в прямом эфире с профессиональным комментарием эксклюзивные трансляции лучшего в мире баскетбола nba, бейсбола, бокса, хоккея, автогонок, американского футбола и других видов спорта.	баскетбол	футбол			Viasat sport – смотрите в прямом эфире с профессиональным комментарием эксклюзивные трансляции лучшего в мире [FIRST_ENTITY] nba, бейсбола, бокса, хоккея, автогонок, американского [SECOND_ENTITY] и других видов спорта.
3	Применение тампонов может вызвать неосторожное занесение заразы, исходя из этого в данный период лучше пользоваться прокладками.	тампон	прокладк			Применение [FIRST_ENTITY] может вызвать неосторожное занесение заразы, исходя из этого в данный период лучше пользоваться [SECOND_ENTITY].
2	5 причин, почему google pixel лучше iphone 7.	google, pixel	iphone, 7			5 причин, почему [FIRST_ENTITY] лучше [SECOND_ENTITY].
0	Главное решение этой проблемы — не стоит отказываться от чая совсем, лучше употреблять его с утра, тогда и кофеин пойдёт на пользу.	коф	ча		кофеин	Главное решение этой проблемы — не стоит отказываться от [SECOND_ENTITY] совсем, лучше употреблять его с утра, тогда и [FIRST_ENTITY] пойдёт на пользу.
0	Чем больше капелек, тем на дольше хватает тампона/прокладки до следующей их замены.	тампон	прокладк			Чем больше капелек, тем на дольше хватает [FIRST_ENTITY]/[SECOND_ENTITY] до следующей их замены.
3	Так как ноги сноубордиста закреплены на одной доске и в одном направлении, ему обычно бывает сложнее объезжать внезапно возникшие на пути препятствия, чего не скажешь о лыжнике, который может двигать ногами в разных направлениях.	лыж	сноуборд		сложн	Так как ноги [SECOND_ENTITY] закреплены на одной доске и в одном направлении, ему обычно бывает сложнее объезжать внезапно возникшие на пути препятствия, чего не скажешь о [FIRST_ENTITY], который может двигать ногами в разных направлениях.
0	Microsoft реализует в wsl доступ к gpu и запуск графических приложений linux компания microsoft объявила о реализации значительных улучшений в подсистеме wsl (windows subsystem for linux), обеспечивающей запуск исполняемых файлов linux в windows....	linux	Microsoft			[SECOND_ENTITY] реализует в wsl доступ к gpu и запуск графических приложений [FIRST_ENTITY] компания [SECOND_ENTITY] объявила о реализации значительных улучшений в подсистеме wsl (windows subsystem for [FIRST_ENTITY]), обеспечивающей запуск исполняемых файлов [FIRST_ENTITY] в windows....
0	Средства гигиены для девочки что лучше применять в подростковом возрасте – прокладки или тампоны?	тампон	прокладк			Средства гигиены для девочки что лучше применять в подростковом возрасте – [SECOND_ENTITY] или [FIRST_ENTITY]?
2	Для более плотного слоя лучше наносить пудру спонжем, а не кистью.	кист	спонж			Для более плотного слоя лучше наносить пудру [SECOND_ENTITY], а не [FIRST_ENTITY].
2	Я бы даже сказала, что этим спонжем удобней наносить тени, так как они почти не пылят при наборе, в отличие, если набирать тени на пушистую кисть (синтетическую).	кист	спонж			Я бы даже сказала, что этим [SECOND_ENTITY] удобней наносить тени, так как они почти не пылят при наборе, в отличие, если набирать тени на пушистую [FIRST_ENTITY] (синтетическую).
2	Собачья слюна чище человеческой natashafedorova / depositphotos собаки куда умнее, добрее и преданнее людей.	собак	люд			Собачья слюна чище человеческой natashafedorova / depositphotos [FIRST_ENTITY] куда умнее, добрее и преданнее [SECOND_ENTITY].
2	Так что запекать в духовке целые картофелины не только проще, чем жарить на сковороде, но еще и полезнее.	запека	жар		полезн	Так что [FIRST_ENTITY] в духовке целые картофелины не только проще, чем [SECOND_ENTITY] на сковороде, но еще и полезнее.
0	Для должной работоспособности лучше использовать что-то менее экзотическое: firefox, internet explorer, opera, safari или chrome.	Internet, Explorer	Firefox			Для должной работоспособности лучше использовать что-то менее экзотическое: [SECOND_ENTITY], [FIRST_ENTITY], opera, safari или chrome.
0	Техники также разные — спонжем или кисточкой, структуры тональных средств тоже на любой вкус — жидкие и густые, которые предварительно нужно нагревать феном, чтобы они ровнее ложились, — этот способ применяется для нанесения тона на пористую кожу.	кист	спонж			Техники также разные — [SECOND_ENTITY] или [FIRST_ENTITY], структуры тональных средств тоже на любой вкус — жидкие и густые, которые предварительно нужно нагревать феном, чтобы они ровнее ложились, — этот способ применяется для нанесения тона на пористую кожу.
2	Программа поддерживает 32- и 64-разрядные операционные системы семейств microsoft windows nt 5 (я устанавливал и в xp и в win 7) и новее (gui-интерфейс), linux и mac os x.	linux	Microsoft			Программа поддерживает 32- и 64-разрядные операционные системы семейств [SECOND_ENTITY] windows nt 5 (я устанавливал и в xp и в win 7) и новее (gui-интерфейс), [FIRST_ENTITY] и mac os x.
2	Во время критических дней лучше также использовать прокладки, а не тампоны.	тампон	прокладк			Во время критических дней лучше также использовать [SECOND_ENTITY], а не [FIRST_ENTITY].
2	Мне тут заказчик сказал, что якобы для работы с анализом данных r лучше чем python, может кто-то что-то знает по этому поводу?	Python	R		анализ, данны	Мне тут заказчик сказал, что якобы для работы с анализом данных [SECOND_ENTITY] лучше чем [FIRST_ENTITY], может кто-то что-то знает по этому поводу?
2	Таким образом, apple iphone 7 оказался в два два раза быстрее samsung galaxy s7 и google pixel, которые являются флагманами на базе операционной системы android.	google, pixel	iphone, 7			Таким образом, apple [SECOND_ENTITY] оказался в два два раза быстрее samsung galaxy s7 и [FIRST_ENTITY], которые являются флагманами на базе операционной системы android.
0	Авиакомпания летает только на современнейших моделях самолетов — airbus и boeing.	Boeing	Airbus	самолет		Авиакомпания летает только на современнейших моделях самолетов — [SECOND_ENTITY] и [FIRST_ENTITY].
0	Когда лучше тренироваться тренировки лучше проводить в определенное время, а именно – утром с 11 до 13, а вечером с 17 до 19.	утр	вечер		тренирова	Когда лучше тренироваться тренировки лучше проводить в определенное время, а именно – [FIRST_ENTITY] с 11 до 13, а [SECOND_ENTITY] с 17 до 19.
0	По словамъ одного англiйскаго ювелира лучшая и самая драгоцѣнная бирюза составляетъ въ настоящее время собственность извѣстнаго магараджи улепсинга, бывшаго лагорскаго короля, нынѣ постоянно живущаго въ парижѣ и часто прiѣзжающаго и въ лондонъ.	лондон	париж			По словамъ одного англiйскаго ювелира лучшая и самая драгоцѣнная бирюза составляетъ въ настоящее время собственность извѣстнаго магараджи улепсинга, бывшаго лагорскаго короля, нынѣ постоянно живущаго въ [SECOND_ENTITY] и часто прiѣзжающаго и въ [FIRST_ENTITY].
2	Доказано, что запекать продукты полезнее, чем жарить.	запека	жар		полезн	Доказано, что [FIRST_ENTITY] продукты полезнее, чем [SECOND_ENTITY].
0	В ежегодном исследовании cushman & wakefield ( european cities monitor , 2010) франкфурт уже более 20 лет занимает третье место как лучшее место для размещения международных корпораций в европе (после лондона и парижа).	лондон	париж			В ежегодном исследовании cushman & wakefield ( european cities monitor , 2010) франкфурт уже более 20 лет занимает третье место как лучшее место для размещения международных корпораций в европе (после [FIRST_ENTITY] и [SECOND_ENTITY]).
3	Для разделов данных в linux, которые должны быть доступны в windows лучше использовать fat, а не ntfs, поскольку она поддерживается лучше.	windows	linux			Для разделов данных в [SECOND_ENTITY], которые должны быть доступны в [FIRST_ENTITY] лучше использовать fat, а не ntfs, поскольку она поддерживается лучше.
0	Автокредит в автосалоне или отдельно в банке – где лучше взять?	автосалон	банк		автокред	Автокредит в [FIRST_ENTITY] или отдельно в [SECOND_ENTITY] – где лучше взять?
3	Почти как настоящая тем, кто страдает аллергией и поллинозом, лучше предпочесть искусственную елку.	настоя	искусствен	елк	лучш	Почти как [FIRST_ENTITY] тем, кто страдает аллергией и поллинозом, лучше предпочесть [SECOND_ENTITY] елку.
0	«бюджетные авиалинии прибыльны за счет экономии на питании, закупки однотипных самолетов (практически во всех low-cost компаниях это либо boeing-737, либо airbus a320.—ъ) и становятся в мире все популярнее.	Boeing	Airbus	самолет		«бюджетные авиалинии прибыльны за счет экономии на питании, закупки однотипных самолетов (практически во всех low-cost компаниях это либо [FIRST_ENTITY]-737, либо [SECOND_ENTITY] a320.—ъ) и становятся в мире все популярнее.
2	Котлеты из говядины в духовке запекать с помощью духового шкафа гораздо полезнее, чем жарить – это знает каждая хозяюшка.	запека	жар		полезн	Котлеты из говядины в духовке [FIRST_ENTITY] с помощью духового шкафа гораздо полезнее, чем [SECOND_ENTITY] – это знает каждая хозяюшка.
2	Текущий двухъядерный процессор по информации можно ожидать быстрее, чем старый четырехъядерный процессор.	двухъядерн	четырехъядерн	процессор		Текущий [FIRST_ENTITY] процессор по информации можно ожидать быстрее, чем старый [SECOND_ENTITY] процессор.
0	Выводы единого мнения по поводу того, что лучше, тампон или прокладка, не существует как среди врачей, так и женщин.	тампон	прокладк			Выводы единого мнения по поводу того, что лучше, [FIRST_ENTITY] или [SECOND_ENTITY], не существует как среди врачей, так и женщин.
2	Прокладки безопаснее, чем тампоны.	тампон	прокладк			[SECOND_ENTITY] безопаснее, чем [FIRST_ENTITY].
3	Онлайн чат whatsapp книги нон-фикшн -тайная история вещей по их мнению, вагинальные тампоны гораздо опасней, чем прокладки, подгузники, просто вата или туалетная бумага: они входят в тесный контакт с телом, а это создает условия для проникновения ...	тампон	прокладк			Онлайн чат whatsapp книги нон-фикшн -тайная история вещей по их мнению, вагинальные [FIRST_ENTITY] гораздо опасней, чем [SECOND_ENTITY], подгузники, просто вата или туалетная бумага: они входят в тесный контакт с телом, а это создает условия для проникновения ...
0	У студентов программ высшего образования после окончания 1-го года обучения появляется отличная возможность провести 2 или 3 год обучения в филиалах istituto marangoni в лондоне или париже.	лондон	париж			У студентов программ высшего образования после окончания 1-го года обучения появляется отличная возможность провести 2 или 3 год обучения в филиалах istituto marangoni в [FIRST_ENTITY] или [SECOND_ENTITY].
0	Знание спорта делать стаки в букмекрських конторах лучше всего если вы знаток футбола или баскетбола или иного спорта и знаете положение команд, можете реально оценить соперников, а не глядя на коэффициенты в конторе.	баскетбол	футбол			Знание спорта делать стаки в букмекрських конторах лучше всего если вы знаток [SECOND_ENTITY] или [FIRST_ENTITY] или иного спорта и знаете положение команд, можете реально оценить соперников, а не глядя на коэффициенты в конторе.
0	Почти везде есть проводной или беспроводной доступ к высокоскоростному и безлимитному интернету, а потому удобнее всего смотреть видео онлайн.	проводн	беспроводн		интернет	Почти везде есть [FIRST_ENTITY] или [SECOND_ENTITY] доступ к высокоскоростному и безлимитному интернету, а потому удобнее всего смотреть видео онлайн.
0	Современные трассы различных уровней сложности предназначены для занятий любимыми видами спорта – горнолыжными лыжами, сноубордом и пр.	лыж	сноуборд		сложн	Современные трассы различных уровней сложности предназначены для занятий любимыми видами спорта – горнолыжными [FIRST_ENTITY], [SECOND_ENTITY] и пр.
2	Баскетбол и в латвии намного популярнее футбола.	баскетбол	футбол			[FIRST_ENTITY] и в латвии намного популярнее [SECOND_ENTITY].
2	Операционные системы windows намного лучше подходят для игр по сравнению с mac или linux из-за того, как они работают, и доступных игр.	mac	Windows		игр	Операционные системы [SECOND_ENTITY] намного лучше подходят для игр по сравнению с [FIRST_ENTITY] или linux из-за того, как они работают, и доступных игр.
0	Audi e-tron, bmw ix3, jaguar i-pace, mercedes-benz eqc и tesla model x: кто круче?	BMW	Audi			[SECOND_ENTITY] e-tron, [FIRST_ENTITY] ix3, jaguar i-pace, mercedes-benz eqc и tesla model x: кто круче?
0	Чем лучше пользоваться – тампонами или прокладками: преимущества и недостатки различных средств, что лучше, мнение гинекологов другое когда удалять зуб?	тампон	прокладк			Чем лучше пользоваться – [FIRST_ENTITY] или [SECOND_ENTITY]: преимущества и недостатки различных средств, что лучше, мнение гинекологов другое когда удалять зуб?
3	А когда драгоценности и обстоятельства жизни драгоценности и обстоятельства жизни по сравнению с безысходно грустными днями в париже, жизнь в лондоне, где я прежде не бывала, принесла облегчение.	лондон	париж			А когда драгоценности и обстоятельства жизни драгоценности и обстоятельства жизни по сравнению с безысходно грустными днями в [SECOND_ENTITY], жизнь в [FIRST_ENTITY], где я прежде не бывала, принесла облегчение.
2	Рекомендуется выпивать не более двух чашек или банок напитков с кофеином в день - лучше перейти на кофе без кофеина.	коф	ча		кофеин	Рекомендуется выпивать не более двух [SECOND_ENTITY] или банок напитков с [FIRST_ENTITY] в день - лучше перейти на [FIRST_ENTITY] без [FIRST_ENTITY].
3	Беспроводной интернет всегда работает чуть хуже, чем через проводное соединение из-за непрямого подключения к устройству.	проводн	беспроводн		интернет	[SECOND_ENTITY] интернет всегда работает чуть хуже, чем через [FIRST_ENTITY] соединение из-за непрямого подключения к устройству.
0	Но не ждите реального улучшения производительности после использования дефрагментаторов реестра, особенно в более поздних версиях windows, таких как windows 10/8/7 / vista.	7	8	Windows	производительн	Но не ждите реального улучшения производительности после использования дефрагментаторов реестра, особенно в более поздних версиях windows, таких как windows 10/[SECOND_ENTITY]/[FIRST_ENTITY] / vista.
